text,label
"""ISWAP attacked Nigerian army positions in Monguno, Borno State early this morning, on the way to reinforce the camp, Colonel I.A. Muhammad was ambushed by ISWAP and killed along with four other soldiers, yet another high ranking officer falls to insurgent bullets in the northeast.""",label_Irrelevant
"""Imam Al-Khalll      said in his book At-Tarrajjul (Being a True Man), from his encompassing work Al-Jmi, about Imam Ahmad     :

Ysuf ibn Ms al-Qan informed me that Ab Abd Allh (Imam Ahmad) was asked: Does a man let his hair grow? He said: Yes, if he is able to do so.

Muammad ibn Ab Hrn informed me that Isq related to them that Ab Abd Allh was asked about a man growing his hair. He said: It is a good sunnah  if it were possible for me, I would have done it.

Grow your hair out if youre able inshaAllah, and dont listen to feminine Madkhalis. They cant find anything of substance to critique, so they critique someones long hair. What a bunch of morons.""",label_Salafi jihadi
"""Every Muslim who is being slandered by the hypocrites/disbelievers should be defended without a doubt, or offered a word of support at a minimum (even if they dont need it). This is the bare minimum rights that any of the Mashayikh, Mujahideen, or the laymen Muslims have upon their Muslim brothers.

That being said, do not be of those who voluntarily bring heartache or sadness to Muslims, by sharing with them slander against them, that they might otherwise be ignorant of occurring. Even the Prophet     was hurt by the slander/Kufr of Quraysh, Allah   Says:

      

Imam Ibn Jarir At-Tabari   comments on this Ayah and said:

The Exalted says  in His mention  to His Prophet Muhammad : And indeed We know, O Muhammad, that your chest is constricted by what these polytheists of your people say  by their denial of you, their mockery of you, and their mockery of what you have brought to them.

Its also mentioned by Ibn Abee ad-Dunya in his Al-Ishraf:

tim ibn Yay narrated to us, saying: I heard Muammad ibn Yay al-Marwaz say: A man said to Wahb ibn Munabbih, So-and-so has insulted you. He replied: Could the devil find no messenger other than you?

And these are widely cited although I couldnt find a Sanad for them, although due to its meaning, it is worthy of mentioning as a reminder for us all, InshaAllah:

Its said that a man came to a wise man and said: So-and-so has insulted you. He replied: He shot an arrow at me and it did not reach me  so why did you carry the arrow and lodge it in my heart?

And its said that a man came to al-Shfi  may Allah have mercy on him  and said: So-and-so speaks ill of you. He replied: If you are telling the truth, then you are a tale-carrier (Nammm); and if you are lying, then you are a transgressor. So the man was ashamed and left.

Defend your brothers in Islam, without hesitation, but be weary not fall into the trap of Nameemah unintentionally, lest you hurt your brother(s) unintentionally. If anything, if someone gets slandered often, be the bearer of good and positive news instead. Work to spread their Dawah, and make it widespread. Share with them the messages of support that flood social media during the slander, instead of the slander itself. 

Theres a wonderful website  thats been assembled, Allahumma Brek. Every time someone slanders the Shaykh, share this website. Let the hypocrites die in their rage.""",label_Salafi jihadi
"""If I understand correctly, ships seeking safe passage through the Strait of Hormuz are required to make payments to Iranian entities that are either formally sanctioned or additionally designated as terrorist organizations by the US and EU. 
In other words, it all comes down to a simple, binary choice: either maximum pressure on Iran together with maximum pressure on the global energy market, or sanctions relief on Iran as a condition for relief of the global energy crisis.
That is the scale of the astounding US-Israeli victory in their latest war. 
More brilliant achievements to come.""",label_Irrelevant
"""Ive said this multiple times in private to brothers, and probably publicly at some point: People who are 3-minutes into the Deen and Manhaj, should not be platformed in anyway to speak about the Deen. If someone is known to flip flop their positions, on top of being very new, then theyre even worse. 

If they continue to do so publicly, after being advised to shut their mouth, sit down, and learn the foundations of Islam and its branches, then they should be publicly shunned and not associated with publicly. 

These morons who are 3-minutes into the Deen who cant even pronounce Kafir properly are making Takfir of giants,  , all because they have the reading comprehension of a Madkhali. 

If theyre not feds already, then they are on the edge of Zandaqa due to such blatant Ghulu. Dont be surprised when these morons evolve to Takfir the likes of Imam Ahmad, and we seek refuge in Allah from such Zandaqa.""",label_Salafi jihadi
"""This Ummah is blessed &amp; bountiful.

- Shaykh al-Muhaddith Sulaymaan al-Alwaan",label_Salafi jihadi
"""Shaykh Saleh al-Fawzan recommending students read the book of Saleh al-Munajjid saying it is well needed and praising Allaah for making him an aider of the haqq
 """,label_Salafi taklidi
"""Mr. Shekau wouldn't be happy with the house of Saud today unharaming western music in the country ;).",label_Salafi jihadi
"""Countries where insulting Jesus is a criminal offence:

Pakistan
Saudi Arabia
Iran
Egypt 
Syria
Iraq
Indonesia
Malaysia
Afghanistan
Somalia
Qatar
Kuwait
Yemen

Countries where insulting Jesus is legally permissible:

United States
United Kingdom
France
Canada
Ireland
Denmark
Netherlands
New Zealand
Sweden
Norway
Finland
Germany
Belgium
Australia
New Zealand""",label_Irrelevant
"""Jaysh Abu Bakr al Saddiq. They had a secret pledge to Dawla which was revealed in 2010. Dawla seemed to have had a policy of secret pledges in this period.""",label_Salafi jihadi
"""IRAN DROP NEW LEGO VIDEO MOCKING PETE HEGSETH",label_Irrelevant
"""There is no difference in deeming something unlawful as permissible, whether it is for a profession or for other reasons.

 Considering tabarruj and unveiling as permissible is major Kufr that expels one from Islam.

Considering kissing and embracing non-maram women as permissible is major kufr that expels one from Islam.

So woe to those who engage in tabarruj while deeming it permissible, and to those who treat kissing and embracing non-maram women as permissible in practice.

So repent to Allah before you meet Him with this hypocrisy and major Kufr.

Shaykh Saadiq Al Hashami""",label_Salafi jihadi
Youre a Wahhabi no bro Im a shah waliullah dehlawi,label_Irrelevant
"""that Shias are fighting for palestine""",label_Irrelevant
"""""The Mohamed Salah replacement has to be Michael Olise.""
""
--------------

It has to be.",label_Irrelevant
"""The Mohamed Salah replacement has to be Michael Olise.""",label_Irrelevant
"""Nuno Mendes, Hakimi and Vitinha all fighting over getting Salahs shirt at the end. #ThatsMyWin #Legacy",label_Irrelevant
"A feminist committing kufr doesnt mean you shit on all women, we are Muslim men, we need to stop carrying the traditional values of our Hindu ancestors.",label_Salafi taklidi
"""when you have no talking stage, no crush, no love life just chilling",label_Irrelevant
"""We need this Liverpool tomorrow",label_Irrelevant
"""""@synszo i could watch you bleed to death and not even flinch""
""
--------------",label_Irrelevant
"""""just realized there was no windows 9 and there was also no iPhone 9 and i'm here wondering why no. 9 was skipped? 
""
--------------

And no more number 9s in the new generation of football",label_Irrelevant
Women that act like men haters are the ones most obsessed with men,label_Irrelevant
"""""what would heal you?""
""
--------------

Another season of game of thrones so sensational that it makes up for the poor end",label_Irrelevant
"""""The guess the Pakistani videos are goated""
""
--------------",label_Irrelevant
The guess the Pakistani videos are goated,label_Irrelevant
""""" Dana White paid off $500,000 of Adin Ross' gambling losses and added another $50,000 for him to keep playing.

""Enjoy the night, kid.""

 @adinross 
""
--------------

I dont understand this concept of rich people giving other rich people charity, give it to people that actually need it smh",label_Irrelevant
"""Elleri demir ranzaya bal Uygur Trk ocuun, bir inli tarafndan elektrookla ikence edildii grntler ortaya kt.",label_Irrelevant
