id,text
1,"[משתמש עשה ריטוויט]
""We support the Red Ribbon Campaign demanding the freedom of all Palestinian hostages.Their freedom is inseparable from the liberation of Palestine! #FreePalHostages #الحرية_للأسرى"""
2,"הציוץ המקורי (ציטוט):
""Never forget that the IDF dressed up as doctors and nurses and stormed a hospital.

This is terrorism. 

--------------

תגובת המשתמש:
They pull the trigger but who funds and sponsors them, and provides the military and political cover for them if not the Xtian liberal Western democracies."
3,"[משתמש עשה ריטוויט]
""Activists stage a die-in at the BBC office in Glasgow, protesting against the BBC's biased coverage of the genocide in Palestine."
4,"הציוץ המקורי (ציטוט):
""Qatar's former PM, Sheikh Hamad bin Jassim calls for the formation of a strategic defense alliance Pakistan, Turkiye, KSA and Egypt. He says, the alliance ""has long been, and remains, an urgent necessity to safeguard our interests and enhance our collective strength in the face of rapid changes in the policies of Western alliance countries""



--------------

תגובת המשתמש:
Lol. Looks like the West are done wid these deplorable govts in the Muslim world."
5,
6,
7,
8,"[משתמש עשה ריטוויט]
""On the very same day British political &amp; media class went after police for banning Maccabi Tel Aviv hooligans from running riot in the UK

Maccabi Tel Aviv hooligans ran riot in Israel, chanting “Death to Arabs” attacking Arab-owned car wash &amp; workers"
9,"[משתמש עשה ריטוויט]
""@MAkhtar59405 @5Pillarsuk There is a rat temple, although it is located in a different state (Rajasthan) within India."""
10,"הציוץ המקורי (ציטוט):
""The Adelaide Writers’ Festival was canceled on Tuesday after organizers barred award-winning Australian-Palestinian author Randa Abdel-Fattah from attending.

The festival later issued an apology, which Abdel-Fattah rejected, saying it only addressed how the cancellation was communicated, not the decision itself.

The decision, originally justified as “not culturally sensitive” due to her past statements, led to a mass withdrawal of participants, including former New Zealand Prime Minister Jacinda Ardern, ultimately forcing the festival to cancel this year’s event.""

--------------

תגובת המשתמש:
What a shame."
11,"הציוץ המקורי (ציטוט):
""NEW: Saudi Arabia and other Arab Gulf states are privately urging the U.S. not to strike Iran, warning that military action or regime change could destabilize the region, disrupt oil markets, and hurt their own security and economies.

Source: WSJ 

--------------

תגובת המשתמש:
It didn't seem to harm them when Sunnah countries were attacked wid their assistance from Afghanistan to Iraq to Yemen, Palestine etc but attacking Shia Tehran is problematic for them.  The  stench of the treacherous
Arab Gulf states is excruciating and unbearable."
12,"הציוץ המקורי (ציטוט):
""MI6 and the CIA provided a list of alleged Soviet agents in Iran to Ayatollah Khomeini’s theocratic regime in the early 1980s. 

The regime used the information to execute leading members of the Iranian communist party, the Tudeh. 

--------------

תגובת המשתמש:
Don't tell that to the socialist."
13,"הציוץ המקורי (ציטוט):
""Thames Water is going bankrupt, AGAIN.

It can be nationalised very easily and for free.

Freeze their bills, watch them go bankrupt, takeover water supply as soon as they stop, as the law already states.

Job done.""

--------------

תגובת המשתמש:
Thats to radical for the citizens of Britain. They would rather be in debt and misery, and  freeze and starve to death than contemplate such dramatic action."
14,"[משתמש עשה ריטוויט]
""Lowkey EXPOSES Israel’s Secret Role in Britain @Lowkey0nline"
15,"[משתמש עשה ריטוויט]
""Israel’s largest arms firm, Elbit Systems, has lost a £2bn contract to train the British military. 

This follows revelations that a former Brigadier in the army, Philip Kimber, passed sensitive information to the company and attended meetings regarding the bid."""
16,"[משתמש עשה ריטוויט]
""@IbnalIskandar @brettachapman How about millions of illegal white immigrants?"""
17,"[משתמש עשה ריטוויט]
""@doamuslims Why is this a crime against Muslims though? It's great news in my opinion, it will consolidate ties between countries from the Global South"""
18,"[משתמש עשה ריטוויט]
""@doamuslims Marvellous.  Perhaps Muslims will now be serious about fixing their own countries instead of running to Europe and America for a better life, and visiting their own countries to fart and return to xtian countries to prop up its economy wid cheap labour as undesirable migrants."""
19,"[משתמש עשה ריטוויט]
""@Zafar1391 @CPROTC115981 Both started Islamization in their countries"""
20,"[משתמש עשה ריטוויט]
""@MrAdnanRashid @TalAbdulrazaq @Haqiqatjou So what would you call the so-called Sunni Muslim who view Shias as brothers.  I believe we have too many closet Shais in our midst mascarading as Sunni Muslim."""
