tweet_id,text,model_text,label,source_file,normalized_text
541mmw9bw,"""The Principle of a just person, a seeker of truth is always Shaykh Rabee (rahimahullah)","""The Principle of a just person, a seeker of truth is always Shaykh Rabee (rahimahullah)",Salafi taklidi,python/tweetsFromSite/tweets_from_site5.csv,"""The Principle of a just person, a seeker of truth is always Shaykh Rabee (rahimahullah)"
,"""Shaykh Sulaymaan al-Alwaans Dua for the Ummah &amp; the prisoners.","""Shaykh Sulaymaan al-Alwaans Dua for the Ummah &amp; the prisoners.",Salafi jihadi,python/ELI/all_tweets.xlsx,"""Shaykh Sulaymaan al-Alwaans Dua for the Ummah &amp; the prisoners."
agi9j4vka,"Prioritise Allah, yourself, and people who truly matter in your life. 

Itll shock you how very little, regular people actually care about you.","Prioritise Allah, yourself, and people who truly matter in your life. Itll shock you how very little, regular people actually care about you.",Irrelevant,python/tweetsFromSite/tweets_from_site5.csv,"Prioritise Allah, yourself, and people who truly matter in your life. Itll shock you how very little, regular people actually care about you."
zl8iu56hj,"The Prophets Duty Is to Convey Clearly  |ClickDEEN360  via @YouTube,","The Prophets Duty Is to Convey Clearly |ClickDEEN360 via @USER,",Irrelevant,python/ELI/all_tweets.xlsx,"The Prophets Duty Is to Convey Clearly |ClickDEEN360 via @YouTube,"
d67g1qzlt,"""The Janaazah of the noble Shaykh &amp; Alaamah, Hamud bin Uqla ash-Shu'aybi. He was from Buraydah &amp; was the Shaykh of many of the senior scholars of our time but has been largely forgotten &amp; ignored (due to his stances it seems). May Allah have mercy on him.","""The Janaazah of the noble Shaykh &amp; Alaamah, Hamud bin Uqla ash-Shu'aybi. He was from Buraydah &amp; was the Shaykh of many of the senior scholars of our time but has been largely forgotten &amp; ignored (due to his stances it seems). May Allah have mercy on him.",Salafi jihadi,python/tweetsFromSite/tweets_from_site5.csv,"""The Janaazah of the noble Shaykh &amp; Alaamah, Hamud bin Uqla ash-Shu'aybi. He was from Buraydah &amp; was the Shaykh of many of the senior scholars of our time but has been largely forgotten &amp; ignored (due to his stances it seems). May Allah have mercy on him."
cyzbc205n,"""He is a Kafir and anyone who doubts HIS disbelief has also committed major kufr.""","""He is a Kafir and anyone who doubts HIS disbelief has also committed major kufr.""",Irrelevant,python/ELI/all_tweets.xlsx,"""He is a Kafir and anyone who doubts HIS disbelief has also committed major kufr."""
x4gesno2u,"""""Its permissible, as long as you both maintain cleanliness of your private parts, then theres really no issue

Oral is one of the most pleasurable things a wife can Receive from her husband

Dont listen to ppl who say its haram lol - nothing in Hadith or Quran says its haram""
""
--------------



Thanks for the info ig","""""Its permissible, as long as you both maintain cleanliness of your private parts, then theres really no issue Oral is one of the most pleasurable things a wife can Receive from her husband Dont listen to ppl who say its haram lol - nothing in Hadith or Quran says its haram"" "" -------------- Thanks for the info ig",Irrelevant,python/ELI/all_tweets.xlsx,"""""Its permissible, as long as you both maintain cleanliness of your private parts, then theres really no issue Oral is one of the most pleasurable things a wife can Receive from her husband Dont listen to ppl who say its haram lol - nothing in Hadith or Quran says its haram"" "" -------------- Thanks for the info ig"
,"""Kuwayt has Sh. al-Khams. 
KSA has Sh. al-Fawzn.
`sim Munr has Muft `Uthmn. 
Jawln has Sh. Al-Muhaysan.

How long till the cage of man-made law break?

Allhs Help is Sought."",","""Kuwayt has Sh. al-Khams. KSA has Sh. al-Fawzn. `sim Munr has Muft `Uthmn. Jawln has Sh. Al-Muhaysan. How long till the cage of man-made law break? Allhs Help is Sought."",",Salafi jihadi,python/ELI/all_tweets.xlsx,"""Kuwayt has Sh. al-Khams. KSA has Sh. al-Fawzn. `sim Munr has Muft `Uthmn. Jawln has Sh. Al-Muhaysan. How long till the cage of man-made law break? Allhs Help is Sought."","
ib2izd3h3,"What group of muslim claimants are still following this guy?

Own up!

Sufis?
Shias?
Asharis?
Maturidis?
Kharijis?
Liberals?
Ikhwanis?
Ahmadis?
Hadith rejectors?

Why on earth does he have 84k followers?",What group of muslim claimants are still following this guy? Own up! Sufis? Shias? Asharis? Maturidis? Kharijis? Liberals? Ikhwanis? Ahmadis? Hadith rejectors? Why on earth does he have 84k followers?,Salafi taklidi,python/ELI/all_tweets.xlsx,What group of muslim claimants are still following this guy? Own up! Sufis? Shias? Asharis? Maturidis? Kharijis? Liberals? Ikhwanis? Ahmadis? Hadith rejectors? Why on earth does he have 84k followers?
,"TRUMP HUMILIATED MBS - Bin Salman Destroyed
#donaldtrumpisrael #saudi @MuslimSkepticHQ @sorenascence @jalalayn @AbuTaymiyyahMJ @MiddleEastEye @Ahmed_hassan_za @HATzortzis @BroHajji @YasirAlHanafi @HassanShibly",TRUMP HUMILIATED MBS - Bin Salman Destroyed #donaldtrumpisrael #saudi @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER,Salafi jihadi,python/ELI/all_tweets.xlsx,TRUMP HUMILIATED MBS - Bin Salman Destroyed #donaldtrumpisrael #saudi @MuslimSkepticHQ @sorenascence @jalalayn @AbuTaymiyyahMJ @MiddleEastEye @Ahmed_hassan_za @HATzortzis @BroHajji @YasirAlHanafi @HassanShibly
ety7xroea,"Also, attempting to argue that your side must be on the truth solely due to someones burnout doesnt work, because there are plenty of people on both sides of the spectrum or from different groups who have left Islam.","Also, attempting to argue that your side must be on the truth solely due to someones burnout doesnt work, because there are plenty of people on both sides of the spectrum or from different groups who have left Islam.",Irrelevant,python/tweetsFromSite/tweets_from_site5.csv,"Also, attempting to argue that your side must be on the truth solely due to someones burnout doesnt work, because there are plenty of people on both sides of the spectrum or from different groups who have left Islam."
63opg4wcg,"30 Years In Dawah, tayyib, where are your credentials?!

Shaykh Abu Atiyyah","30 Years In Dawah, tayyib, where are your credentials?! Shaykh Abu Atiyyah",Salafi taklidi,python/ELI/all_tweets.xlsx,"30 Years In Dawah, tayyib, where are your credentials?! Shaykh Abu Atiyyah"
h18ara8eh,They resemble the behaviour of the Khawarij (a label they loosely throw at others) but instead of Takfir they use Tabdi &amp; warning. We ask Allah to rid the Ummah of their evil &amp; Baatil.,They resemble the behaviour of the Khawarij (a label they loosely throw at others) but instead of Takfir they use Tabdi &amp; warning. We ask Allah to rid the Ummah of their evil &amp; Baatil.,Salafi taklidi,python/ELI/all_tweets.xlsx,They resemble the behaviour of the Khawarij (a label they loosely throw at others) but instead of Takfir they use Tabdi &amp; warning. We ask Allah to rid the Ummah of their evil &amp; Baatil.
935kdayzc,""" !
 Hadith: Allh is pleased for you 3 affairs and dislikes from you 3 affairs
 Abu Inaayah Seif 
   
 
 Stifford Centre, E1 3JG
 Brothers and sisters welcome 
 Tune in live via:",""" ! Hadith: Allh is pleased for you 3 affairs and dislikes from you 3 affairs Abu Inaayah Seif Stifford Centre, E1 3JG Brothers and sisters welcome Tune in live via:",Irrelevant,python/ELI/all_tweets.xlsx,""" ! Hadith: Allh is pleased for you 3 affairs and dislikes from you 3 affairs Abu Inaayah Seif Stifford Centre, E1 3JG Brothers and sisters welcome Tune in live via:"
hww4jzg37,"The Straight Path is clear if you are athari, Upon following the Sunnah with the narrations of the Companions, their students then their students.","The Straight Path is clear if you are athari, Upon following the Sunnah with the narrations of the Companions, their students then their students.",Salafi taklidi,python/ELI/all_tweets.xlsx,"The Straight Path is clear if you are athari, Upon following the Sunnah with the narrations of the Companions, their students then their students."
