"ID","Text","Language","Type","Author Name","Author Username","View Count","Reply Count","Retweet Count","Quote Count","Favorite Count","Bookmark Count","Created At","Tweet URL","Source","hashtags","urls","media_type","media_urls"
"2012257968398467307","What a scandal! A police chief has been bullied into retirement for daring to put the safety of British citizens in Birmingham first above the needs of foreign hooligans known for racism and Islamophobic chanting.

This is the latest disgraceful example of the UK Labour government putting Israeli interests first to the great detriment of British people.","en","Retweet","Robert Carter","Bob_cart124","3425","11","42","0","101","3","2026-01-16 22:17:40","https://x.com/Bob_cart124/status/2012257968398467307","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2011769429181554906","You. Cannot. Make. This. Shit. Up.

Maccabi Tel Aviv fans went on a racist riot in Israel.

The VERY SAME DAY that the British Home Secretary demanded the sacking of the West Midlands Chief Constable over the ban on Maccabi Tel Aviv fans coming to Birmingham.","en","Retweet","Owen Jones","owenjonesjourno","386016","529","5429","116","15779","660","2026-01-15 13:56:23","https://x.com/owenjonesjourno/status/2011769429181554906","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","",""
"2012197409095311520","This doctor has now been arrested 4 times by British “counter-terrorism” police at the behest of the Israel lobby

Her “crime” is opposing Zionism and the genocide in Gaza

Complete madness

(I am aware of her political trajectory, it’s irrelevent to the case)","en","Retweet","Matt Kennard","kennardmatt","28529","104","600","7","1618","37","2026-01-16 18:17:01","https://x.com/kennardmatt/status/2012197409095311520","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
"2011802633145631160","This morning at 6.20 am the Metropolitan Police arrested Dr Rahmeh Aladwan AGAIN.  For the fourth time in three months.

This has got to stop.  

We must declare that it is not permissible for the police to arrest people on the whim of genocidal Zionists.

#DismantleZionism","en","Retweet","David Miller","Tracking_Power","235598","980","5460","194","11701","695","2026-01-15 16:08:19","https://x.com/Tracking_Power/status/2011802633145631160","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#DismantleZionism","","video","https://video.twimg.com/amplify_video/2011802114008449024/vid/avc1/720x1280/viZzbXU6Q7WO5SWO.mp4?tag=21"
"1945430493249376476","How Labour Antisemitism Hoax Paved Way for Genocide @pularjs https://t.co/lDbyMHbFyg","en","Retweet","Double Down News","DoubleDownNews","145535","52","1252","87","1815","343","2025-07-16 13:29:08","https://x.com/DoubleDownNews/status/1945430493249376476","<a href=""https://studio.twitter.com"" rel=""nofollow"">Twitter Media Studio</a>","","","video","https://video.twimg.com/amplify_video/1945098269861826561/vid/avc1/720x720/Loj9TD6o2Az1I0Ix.mp4?tag=14"
"2012204704067977564","The Zionists got him. Yet another good man loses his career because he dared to cross the genocide lobby. 

When will Brits say enough is enough? When will they say we will not be beholden to the demands of a foreign state?","en","Retweet","Roshan M Salih","RmSalih","170828","778","2526","75","7684","162","2026-01-16 18:46:01","https://x.com/RmSalih/status/2012204704067977564","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","",""
"2012129797812699525","@Patrick_T_Quinn @HCWsAC Britain is an occupied territory. https://t.co/OLoSRIDsrc","en","Retweet","Dr Rahmeh Aladwan","doctor_rahmeh","14191","43","358","11","873","30","2026-01-16 13:48:22","https://x.com/doctor_rahmeh/status/2012129797812699525","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","","","photo","https://pbs.twimg.com/media/G-yFY2VbAAA7Lh0.jpg"
"2011951869896048757","Today, India shut down a medical school in #Kashmir because the majority of its admitted students were Muslims.

The limits of Indian Islamophobia have no end.","en","Retweet","Khaled Beydoun","KhaledBeydoun","46785","62","720","12","3358","49","2026-01-16 02:01:20","https://x.com/KhaledBeydoun/status/2011951869896048757","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","#Kashmir","","",""
"2011694438829982130","In 1937 Winston Churchill said about Palestinians.

I don’t agree that a dog in a manger has final rights to the manger, even if he was there long before.

I don’t admit that a wrong was done to American red Indians or Black people of Australia.

Because a higher-grade race has come in & took their place.

Prime Minister Yitzhak Shamir called them grasshoppers who could be crushed.","en","Retweet","Irlandarra","aldamu_jo","262810","229","3692","155","7341","2538","2026-01-15 08:58:24","https://x.com/aldamu_jo/status/2011694438829982130","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","","","video","https://video.twimg.com/amplify_video/2011694311969271808/vid/avc1/720x1280/46-5jnd1zX4VPOrN.mp4?tag=21"
"2011545051529417089","Hiroshima was hit  with less  firepower. 
As sad and sick and horrific as that sounds it’s absolutely true -","en","Retweet","John Cusack","johncusack","124975","431","2781","25","7332","158","2026-01-14 23:04:47","https://x.com/johncusack/status/2011545051529417089","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","","","",""
