id,text
1,"הציוץ המקורי (ציטוט):
""#SDF are terrorists who target 🎯 civilians and their attacks today in #Aleppo show that terrorism knows no religion, race, or creed. 

--------------

תגובת המשתמש:
We have reached new levels of slop"
2,"[משתמש עשה ריטוויט]
""@AbuAsimHanbali So if Palestine is freed from the grip of the Jews, it becomes permissible to join the Abrahamic accords? May Allahs curse be upon the apostate leaders of the Muslims and all those who argue on their behalf"""
3,"[משתמש עשה ריטוויט]
""The kurdish and balochi regions are the most likely 'candidates' for an insurgency after the collapse of eyeran"""
4,"[משתמש עשה ריטוויט]
""عالم عجيب 
"" بعض الحكومات العربية تقول إن انهيار #ايران يعني فوضى في الشرق الأوسط، اين كانت عبارتكم عند احتلال #بغداد 2003 بل بعضكم فتح بلدانه للقوات المحتلة لغزو العراق  ""
#مجلة_الف_باء 🔰"
5,"[משתמש עשה ריטוויט]
""To clarify since people like to take what i say completely out of context

Of course not all Kurds are backed by the Mossad. I’m obviously only talking about the Kurds who were given money and weapons to go and commit atrocities in Aleppo against civilians and sow chaos"""
6,"All praise to Allah the creator of worlds.
The hypocrisy in many of the kurds parading as salafi muslims is exposed by the war between the atheist SDF and apostate STG.
I have been labelled as a baathist and racist by arabs, kurds and more but no one can deny the truth now."
7,SDF and peshmerga supporter
8,
9,
10,"הציוץ המקורי (ציטוט):
""Saddam Hussein once said:

“The heroic people of Saudi Arabia are the authentic Arabs who carried Islam to Iraq and the world.” 

--------------

תגובת המשתמש:
Madkhalis copying shias in posting Saddam out of context"
11,"Why are turks posting Saddam, Saddam hated your country and was on the verge of throwing scuds at ankara"
12,I will probably just share links of kurds posing as salafis who were well repped in MT commiting kufr
13,"we still doing this 😭
welcome first saddam potrait raised at protest of 2026 ig
The only thing consistent in the middle east nowadays...."
14,"[משתמש עשה ריטוויט]
""@kurdishmuwahhid @jaafar31424 @adil_bach Muslims stay neutral in these affairs, even then the SDF are most anti-Islam akin to Bashar."""
15,Interesting discussion between a few people in detail below on kurdish politics
16,"[משתמש עשה ריטוויט]
""Follow @adil_bach 👇🏿 He is new to this platform! He has never had any accounts, but the word on the street is that he’s very smart!"""
17,"הציוץ המקורי (ציטוט):
""Syrian security forces at the gates of the last SDF stronghold, the Sheikh Maqsoud neighborhood in Aleppo city. 

--------------

תגובת המשתמש:
This account looks like a good news source eh"
18,"הציוץ המקורי (ציטוט):
""@Sulehriiiiii @KreatelyMedia 

--------------

תגובת המשתמש:
Well grok was objective, statistically a muslim is more likely to be a terrorist than a pornstar"
19,"[משתמש עשה ריטוויט]
""Crying and slandering every other day about arabs won’t bring betterment to your people btw. If anything you’re becoming the descriptions that you use.

Seek medical help."
20,"[משתמש עשה ריטוויט]
""اليوم ذكرى تأسيس الجيش العراقي (1921–2003)

الجيش الوحيد في تاريخ العالم الذي واجه 33 جيشًا بوقت واحد دفاعًا عن وطنه.

تشهد له جنين والخليل، وسيناء والجولان، والمحمّرة، والفاو وشط العرب، وجزيرة خرج.

فكّ الله أسر قادته في سجون الظلم الطائفي، وحفظ الذين يعانون المنفى خارج الوطن، ورحم الشهداء"""
21,"הציוץ המקורי (ציטוט):
""اليوم ذكرى تأسيس الجيش العراقي (1921–2003)

الجيش الوحيد في تاريخ العالم الذي واجه 33 جيشًا بوقت واحد دفاعًا عن وطنه.

تشهد له جنين والخليل، وسيناء والجولان، والمحمّرة، والفاو وشط العرب، وجزيرة خرج.

فكّ الله أسر قادته في سجون الظلم الطائفي، وحفظ الذين يعانون المنفى خارج الوطن، ورحم الشهداء""

--------------

תגובת המשתמש:
One out of 2 iraqi armies to do that 😅"
22,"[משתמש עשה ריטוויט]
""إذا استعرضت مسيرته العظيمة لابد أن تذكر حرب 1980-1988 التي مرغت الخميني واتباعه وجيشه
 6 كانون الثاني 1921
#عيد_الجيش_العراقي"
23,"הציוץ המקורי (ציטוט):
""remember: the “salvation government” of Jolani is filled with Assadists""

--------------

תגובת המשתמש:
2021???"
24,"[משתמש עשה ריטוויט]
""@amee_memee Many men excuse disbelief and apostasy of rulers but spend all their time criticising women’s attire. Fiqh of Priorities should be taught from primary school."""
25,"[משתמש עשה ריטוויט]
""Islamic Army in Venezuela cuz im bored"
26,"הציוץ המקורי (ציטוט):
""ISIS preparing to murder people in front of the Roman ruins of Palmyra a decade ago 

--------------

תגובת המשתמש:
we wuz romans"
27,"הציוץ המקורי (ציטוט):
""@M2infinity22 I always wonder who no Muslim Kurd with gheerah for his own people has removed him from the face of the earth. Proof how useless most muslim kurds are. It is always secular Kurds defending our honor. @M2infinity22""

--------------

תגובת המשתמש:
Kurdish ""muwahid"" states secular kurds are better than muslim kurds and more honorable"
28,
29,I will be uploading old gem tweets in this thread over the next duration
30,
31,
32,"[משתמש עשה ריטוויט]
""@RashmanTheHorse ""muh Sunni sectarianism bad"" leftist f_gslop"""
33,"[משתמש עשה ריטוויט]
""@amohdniaz78 @AbuHafsAfghan What is a better word?"""
34,Yet some kurds cuck to alqaeda iran sympathising lmao
35,"[משתמש עשה ריטוויט]
""@AyKarT0 I remember reading a post on twitter along the lines of: some muslims would even support shaitaan if he was against the zionist state."""
36,"[משתמש עשה ריטוויט]
""@AyKarT0 Muslims are pseudo communists especially those online. They are unable to think beyond binaries."""
37,"הציוץ המקורי (ציטוט):
""🇮🇶 A military parade in Tikrit, few weeks before the invasion of Iraq, 2003. 

Photo by Alexandra Boulat 

--------------

תגובת המשתמש:
These arent actually soldiers BTW, they are paramilitary not really well trained, they were made to be deployed to any front that israel opens. OFC the shia dismantled it."
