Tweet ID,Text,Final Decision,Assigned To,Label_Lior,Reasons_Lior,Label_eden,Reasons_eden,Label_lior,Reasons_lior,Label_ofek,Reasons_ofek,Label_אורי כהן,Reasons_אורי כהן,Label_אוריכהן,Reasons_אוריכהן,Label_אילון כהן,Reasons_אילון כהן,Label_אריאל כהן,Reasons_אריאל כהן,Label_בנימין ווליך,Reasons_בנימין ווליך,Label_הודיה עופרי,Reasons_הודיה עופרי,Label_הילי חכמי,Reasons_הילי חכמי,Label_זיו חסון,Reasons_זיו חסון,Label_כיתה,Reasons_כיתה,Label_ענה-יה אך,Reasons_ענה-יה אך,Label_צבי גופרי,Reasons_צבי גופרי,Label_תומר חוכימה,Reasons_תומר חוכימה,Eli,source_file,normalized_text
fwi0sr82t,!,Irrelevant,אילון כהן;ענה-יה אך,,,,,,,,,,,,,Irrelevant,,,,,,,,,,,,,,Irrelevant,,,,,,,python/tweetsFromSite/tweets_from_site5.csv,!
7887s28l9,"         !

Alhamdulillah, the masjid extension is almost complete. 

Now,    ,      '         .

Just  is left to complete the entire project.

What better time to give than in the month when deeds are multiplied and sadaqah carries even greater weight?

Donate here: 

> {             }
Who is he that will lend Allah a goodly loan so He may multiply it for him and he will have a noble reward?
 Surah Al-add (57:11)

Dont let this Ramadan pass without investing in your akhira in helping establish this house from the houses of Allah. Even a small contribution could be the reason for immense reward on Yawm al-Qiyamah.

Please give what you can, share the appeal, and help our brothers complete this masjid during this blessed month.

May Allah accept from you and multiply your reward.",Irrelevant,הילי חכמי,,,,,,,,,,,,,,,,,,,,,Irrelevant,,,,,,,,,,,,,python/ELI/all_tweets.xlsx,"! Alhamdulillah, the masjid extension is almost complete. Now, , ' . Just is left to complete the entire project. What better time to give than in the month when deeds are multiplied and sadaqah carries even greater weight? Donate here: > { } Who is he that will lend Allah a goodly loan so He may multiply it for him and he will have a noble reward? Surah Al-add (57:11) Dont let this Ramadan pass without investing in your akhira in helping establish this house from the houses of Allah. Even a small contribution could be the reason for immense reward on Yawm al-Qiyamah. Please give what you can, share the appeal, and help our brothers complete this masjid during this blessed month. May Allah accept from you and multiply your reward."
tfvj278i0,"    !

Alhamdulillh  weve secured   from London  Jeddah

     

A handful of these seats available      to join us for Umrah! 

Contact us at  or salaficentre@outlook.com",Salafi taklidi,צבי גופרי;אריאל כהן,,,,,,,,,,,,,,,Salafi taklidi,,,,,,,,,,,,,,Irrelevant,,,,,python/ELI/all_tweets.xlsx,! Alhamdulillh weve secured from London Jeddah A handful of these seats available to join us for Umrah! Contact us at or salaficentre@outlook.com
wlhqn827o," ! Prep work has now begun for the  of our masjid car park  the ground is being prepared and things are progressing.

     to help us complete this work (and other works) and cover the costs involved.

No amount is too small  every contribution helps! 

    .

 : 

:
Account Name: Dar Ul Hadith
Sort Code: 309542
Account Number: 05570092
Bank Name: Lloyds
: 

  :
 

Don't forget to Gift Aid your donations - by filling this form in: 


#OngoingCharity #SadaqahJriyah
",Irrelevant,זיו חסון;צבי גופרי,,,,,,,,,,,,,,,,,,,,,,,Irrelevant,,,,,,Irrelevant,,,,,python/ELI/all_tweets.xlsx,! Prep work has now begun for the of our masjid car park the ground is being prepared and things are progressing. to help us complete this work (and other works) and cover the costs involved. No amount is too small every contribution helps! . : : Account Name: Dar Ul Hadith Sort Code: 309542 Account Number: 05570092 Bank Name: Lloyds : : Don't forget to Gift Aid your donations - by filling this form in: #OngoingCharity #SadaqahJriyah
4bsynohk1,"""             !                        !",Irrelevant,הודיה עופרי,,,,,,,,,,,,,,,,,,,Irrelevant,,,,,,,,,,,,,,,python/tweetsFromSite/tweets_from_site5.csv,""" ! !"
unyvft054,"""                 !         !     !

#BanISKCON
#Hindutva terror in Bangladesh",Irrelevant,הילי חכמי,,,,,,,,,,,,,,,,,,,,,Irrelevant,,,,,,,,,,,,,python/ELI/all_tweets.xlsx,""" ! ! ! #BanISKCON #Hindutva terror in Bangladesh"
5avp9iyjw,""" !
 "",             -.  ,    ()   .""
 Abu Ukkshah Abdul-akm 
   
 
 Stifford Centre, Stepney Green, E1 3JG
 Brothers and sisters welcome 
 Tune in live via:",Salafi taklidi,אריאל כהן;הילי חכמי,,,,,,,,,,,,,,,Salafi taklidi,,,,,,Salafi taklidi,,,,,,,,,,,,,python/ELI/all_tweets.xlsx,""" ! "", -. , () ."" Abu Ukkshah Abdul-akm Stifford Centre, Stepney Green, E1 3JG Brothers and sisters welcome Tune in live via:"
f35zoyvwk,"""   !     
#Boycott_Nagad

 @Save0urSisters",Irrelevant,בנימין ווליך;צבי גופרי,,,,,,,,,,,,,,,,,Irrelevant,,,,,,,,,,,,Irrelevant,,,,,python/ELI/all_tweets.xlsx,""" ! #Boycott_Nagad @Save0urSisters"
5mf1i54z4,"""        !             +   

     ??

#Hindutva terror in Bangladesh",Irrelevant,זיו חסון;ענה-יה אך,,,,,,,,,,,,,,,,,,,,,,,Irrelevant,,,,Irrelevant,,,,,,,python/ELI/all_tweets.xlsx,""" ! + ?? #Hindutva terror in Bangladesh"
b9dhv7lk4,"""          !

Alhamdulilh, the setup is underway!
Were nearly there

 : ,  
 :   
  !

Lets complete it together and prepare the space for our brothers and sisters to pray Saltul-d comfortably.

,                 [:]

           !

:
Account Name: Dar Ul Hadith
Sort Code: 309542
Account Number: 05570092
Bank Name: Lloyds
: 

  :",Irrelevant,ענה-יה אך;אילון כהן,,,,,,,,,,,,,Irrelevant,,,,,,,,,,,,,,Irrelevant,,,,,,,python/ELI/all_tweets.xlsx,""" ! Alhamdulilh, the setup is underway! Were nearly there : , : ! Lets complete it together and prepare the space for our brothers and sisters to pray Saltul-d comfortably. , [:] ! : Account Name: Dar Ul Hadith Sort Code: 309542 Account Number: 05570092 Bank Name: Lloyds : :"
935kdayzc,""" !
 Hadith: Allh is pleased for you 3 affairs and dislikes from you 3 affairs
 Abu Inaayah Seif 
   
 
 Stifford Centre, E1 3JG
 Brothers and sisters welcome 
 Tune in live via:",Irrelevant,ענה-יה אך,,,,,,,,,,,,,,,,,,,,,,,,,,,Irrelevant,,,,,,,python/ELI/all_tweets.xlsx,""" ! Hadith: Allh is pleased for you 3 affairs and dislikes from you 3 affairs Abu Inaayah Seif Stifford Centre, E1 3JG Brothers and sisters welcome Tune in live via:"
l5yzyiwy9,"""          !

Travel with us and bring your family for a guided Umrah designed with luxury and unforgettable experiences in mind.

   
 Packages starting  
 Departing from Manchester

Payment plans and low installment options available!

  : 

  &    :",Irrelevant,אריאל כהן;הילי חכמי,,,,,,,,,,,,,,,Irrelevant,,,,,,Irrelevant,,,,,,,,,,,,,python/ELI/all_tweets.xlsx,""" ! Travel with us and bring your family for a guided Umrah designed with luxury and unforgettable experiences in mind. Packages starting Departing from Manchester Payment plans and low installment options available! : & :"
0fpujy4ci,"""        ! 
Visit the link below and book now, may Allh bless you.",Irrelevant,ענה-יה אך;אילון כהן,,,,,,,,,,,,,Irrelevant,,,,,,,,,,,,,,Irrelevant,,,,,,,python/ELI/all_tweets.xlsx,""" ! Visit the link below and book now, may Allh bless you."
92y3xe1jj,"""       !

Visit us in-store and pick up your copy!",Irrelevant,זיו חסון;צבי גופרי,,,,,,,,,,,,,,,,,,,,,,,Irrelevant,,,,,,Irrelevant,,,,,python/ELI/all_tweets.xlsx,""" ! Visit us in-store and pick up your copy!"
ib3ydg8ko,"""     !

   hosted by    in collaboration with   .

  ()
 :  
   &   
   :

  
 :   
   
   

 : 
 Registration and payment are to be made directly via the Health Means Wealth website. 

 All Practical packs will be distributed at the workshop InshaaAllh.

     :   

 : 07808 275444
 :",Irrelevant,אריאל כהן;הילי חכמי,,,,,,,,,,,,,,,Irrelevant,,,,,,Irrelevant,,,,,,,,,,,,,python/ELI/all_tweets.xlsx,""" ! hosted by in collaboration with . () : & : : : Registration and payment are to be made directly via the Health Means Wealth website. All Practical packs will be distributed at the workshop InshaaAllh. : : 07808 275444 :"
xeuq02qrz,"   

""           ""

 By Ustdh Abdul Hakeem Mitchell @ibnmitchell   

Join us for a beneficial lesson discussing this noble Hadeeth.

    
    |   

Collaboration lecture with the Sisters at Ummahaatul Mumineen @UMMInstitute 

             . 

   : 

The Salafi Centre of Manchester 
  
 @salaficentre 
 

 Share with your family & friends!",Salafi taklidi,בנימין ווליך;זיו חסון,,,,,,,,,,,,,,,,,Salafi taklidi,,,,,,Salafi taklidi,,,,,,,,,,,python/ELI/all_tweets.xlsx,""" "" By Ustdh Abdul Hakeem Mitchell @ibnmitchell Join us for a beneficial lesson discussing this noble Hadeeth. | Collaboration lecture with the Sisters at Ummahaatul Mumineen @UMMInstitute . : The Salafi Centre of Manchester @salaficentre Share with your family & friends!"
9btoa9fag,"""           

#Hindutva Terror in Bangladesh",Irrelevant,צבי גופרי;הילי חכמי,,,,,,,,,,,,,,,,,,,,,Irrelevant,,,,,,,,Irrelevant,,,,,python/tweetsFromSite/tweets_from_site5.csv,""" #Hindutva Terror in Bangladesh"
466ng112s,"""                    
          
#MolanaHamidulhaq 
#MolanaSamiulhaq
@Zabehulah_M33
@__alaskri @WakeelMubariz",Irrelevant,בנימין ווליך;אורי כהן,,,,,,,,,Irrelevant,,,,,,,,Irrelevant,,,,,,,,,,,,,,,,,python/tweetsFromSite/tweets_from_site5.csv,""" #MolanaHamidulhaq #MolanaSamiulhaq @Zabehulah_M33 @__alaskri @WakeelMubariz"
g2l9ib3rw,""" #Ramadhn the month of giving

As we enter the final days/hours of Ramadhn, your #Masjid needs you

Alamdulillh, 33,945 raised so far. Target is 60,000

Reap multiplied reward in these final moments

 Donate now: 

Paypal:",Irrelevant,הילי חכמי;ענה-יה אך,,,,,,,,,,,,,,,,,,,,,Irrelevant,,,,,,Irrelevant,,,,,,,python/ELI/all_tweets.xlsx,""" #Ramadhn the month of giving As we enter the final days/hours of Ramadhn, your #Masjid needs you Alamdulillh, 33,945 raised so far. Target is 60,000 Reap multiplied reward in these final moments Donate now: Paypal:"
11adj8bnw,"""   

#Salafi #Salafirecording #Salaf #Muslim #Islam #Quran #Sunnah #Salafiyyah",Salafi taklidi,זיו חסון,,,,,,,,,,,,,,,,,,,,,,,Salafi taklidi,,,,,,,,,,,python/ELI/all_tweets.xlsx,""" #Salafi #Salafirecording #Salaf #Muslim #Islam #Quran #Sunnah #Salafiyyah"
codv2x3dc,"""              #Shorts 

By Sh. Abu Khadeejah Abdul-Whid  
@AbuKhadeejahSP 

#Salafi #Salafirecording #Salaf #Muslim #Islam #Quran #Sunnah #Salafiyyah #Mother #Parents #Family"",",Salafi taklidi,זיו חסון;צבי גופרי,,,,,,,,,,,,,,,,,,,,,,,Salafi taklidi,,,,,,Salafi taklidi,,,,,python/ELI/all_tweets.xlsx,""" #Shorts By Sh. Abu Khadeejah Abdul-Whid @AbuKhadeejahSP #Salafi #Salafirecording #Salaf #Muslim #Islam #Quran #Sunnah #Salafiyyah #Mother #Parents #Family"","
5dbp1c71i,"""  $'    *|!          ** +- *",Irrelevant,צבי גופרי,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Irrelevant,,,,,python/tweetsFromSite/tweets_from_site5.csv,""" $' *|! ** +- *"
c2qq2qssa,"""   

  & :

Imam Sadis explanation of Jawaamiu Al-Akhbaar with additional benefits from Shaykh Ubayd

Ustdh Abu Abdir-Rahmn Hill   
@MarkazSalafi 

 Live at the Masjid
 All Welcome

  :  

    :",Salafi taklidi,הילי חכמי;ענה-יה אך,,,,,,,,,,,,,,,,,,,,,Salafi taklidi,,,,,,Salafi taklidi,,,,,,,python/ELI/all_tweets.xlsx,""" & : Imam Sadis explanation of Jawaamiu Al-Akhbaar with additional benefits from Shaykh Ubayd Ustdh Abu Abdir-Rahmn Hill @MarkazSalafi Live at the Masjid All Welcome : :"
8vi2hzttp,"""  ''",Irrelevant,אריאל כהן;צבי גופרי,,,,,,,,,,,,,,,Irrelevant,,,,,,,,,,,,,,Irrelevant,,,,,python/tweetsFromSite/tweets_from_site5.csv,""" ''"
