text,label_Salafi jihadi,label_Salafi taklidi,label_Irrelevant,max_prob,model_decision
"""Nadiya Hussain recalls The Great British Bake Off nerves - 'I had to fight myself to get there'




@BegumNadiya #GBBO  #TheRyanTubridyShow #VirginRadioUK",1.0464527e-08,0.9987343,0.0012657475,0.9987343,Salafi taklidi
"""Who is a Sunni? @hikmahpubs 

A response to those who say you have to be Ashari, Sufi.",1.3280668e-08,0.0047658524,0.9952342,0.9952342,Irrelevant
"""WE LOVE PIE, WE LOVE PIE! 

Such a treat to have @BegumNadiya in the studio, blowing us away with her keema plate pie (or one huge samosa!) &amp; charred mango salad! 

Recipes here 

@knackeredmutha recommends Brite Pineapple &amp; Mango (Sainsburys, 2)",2.9678736e-08,0.96696866,0.033031255,0.96696866,Salafi taklidi
"""Pleased to see @BegumNadiya @Schwartzflavour #spice blends &amp; #recipe kits so prominently displayed @asda #oldkentroad - loving the on shelf in aisle displays in particular.
#nadiyahussain #licensing",3.9200934e-08,0.04411728,0.9558827,0.9558827,Irrelevant
"""What to watch tonight: #GBBO champion @BegumNadiya is back radiating joy, wholesomeness and energy in #NadiyasSimpleSpices - which is a delicious, uplifting show even for non-cooks. 8pm on BBC Two",3.757945e-08,0.92170095,0.07829894,0.92170095,Salafi taklidi
"""A Palestinian Gazzan man from inside Gaza and above the rubble of destruction sends a message to the Shia and all those in support of Iran and Sunni-Shia unity.

This what the Palestinians make of such absurd and shameful idea which the likes of @Haqiqatjou promoting

Any words @Haqiqatjou @dkayofficial_""",0.99631786,0.0036819929,1.2106858e-07,0.99631786,Salafi jihadi
"""Alhamdulillah a dog of hellfire has been suspended from this platform.

Let's see if this hypocrite kharijite will appeal to Twitter laws (laws other than Laws of Allah), so, will that make him then kaafir as per his ""standards""?",0.9956252,6.75867e-08,0.004374672,0.9956252,Salafi jihadi
"Diverse representation in childrens fiction is so important, which is why Im so proud to be supporting the launch of new charity @IBCplatform. Their website makes finding inclusive childrens books SO much easier. Be sure to checkit out:",5.9089267e-09,0.00027606497,0.999724,0.999724,Irrelevant
"Im going to the World Halal Food Festival on Saturday! Join me on the Tariq Halal Cookery Theatre for a LIVE cookery demoat 12pm, followed by a book signing.

Tickets available at their",1.6953551e-07,0.67555183,0.324448,0.67555183,Salafi taklidi
"""Syrias revolution was first crushed, and then misread. @qunfuz2 reviews five recent books that show how elites, ideologues and foreign observers alike failed to see the people at its heart.",9.3262116e-08,0.12676649,0.87323344,0.87323344,Irrelevant
"""Al-Hasan al-Basri   said:

""The righteous used to say: The difficult thing is not praying at night, but rather protecting your deeds from being wasted by sins and heedlessness.""

[Hilyat al-Awliya, 2/354]""",1.992298e-08,0.0110583445,0.9889417,0.9889417,Irrelevant
"Im excited tell you that @GOSHCharity has launched their Christmas Appeal! Help spread festive cheer to the children, families and staff at GOSH by sending a special Christmas stocking message and donation if you can:  Thank you",1.2294276e-08,0.0027369068,0.9972631,0.9972631,Irrelevant
"""Baking champion and TV chef @BegumNadiya is here! 

What are your best bakes to make? Wed love to hear about and see them! 

Tonight at 7pm on @BBCOne &amp; @BBCiPlayer  #TheOneShow",5.6275895e-09,0.9995535,0.00044649432,0.9995535,Salafi taklidi
