text,label_Salafi jihadi,label_Salafi taklidi,label_Irrelevant,max_prob,model_decision
"O Students of Knowledge put everything in its right place. Venerate the Book and the Sunnah, and return to the scholars: their speech, books, and their application; but its not proof.",2.347475e-07,0.99854845,0.0014512585,0.99854845,Salafi taklidi
"""En route to Birmingham for a workshop at Al-Mahdi Institute (@almahdi_inst). I will be reading and sharing my thoughts on al-Rz's natural theology based on Malim Ul al-Dn, along with background knowledge of al-Malib al-liya.",5.52499e-07,0.98352814,0.016471295,0.98352814,Salafi taklidi
"""6 people accepted Islam in this sitting with @hikmahpubs this afternoon. 

25 people accepted the religion today. Alhamdu lillah. 

212 people in 8 days. Subhan Allah. 

May Allah bless the community and all those who help and support in any.",1.5224013e-07,0.0014973752,0.9985025,0.9985025,Irrelevant
"""Tabarruk ya Shirk?!
  !
Saheeh Aqidah sekhne k liye subscribe kejeye",0.9986755,0.001323858,5.444487e-07,0.9986755,Salafi jihadi
"""Who is a Sunni? @hikmahpubs 

A response to those who say you have to be Ashari, Sufi.",1.8279844e-07,0.0014640929,0.99853563,0.99853563,Irrelevant
"""Salih alFawzan said
Partisanship to madhhabs, individuals and tribes isn't allowed
The Muslim follows the truth with whoever it is
He doesn't show blind loyalty, nor leave the truth that is with his opponent
The Muslim turns to truth wherever it may be
 Inat al-Mustafd, 2/115.""",0.9950492,0.004950592,1.8883927e-07,0.9950492,Salafi jihadi
"""Salih alFawzan said
Partisanship to madhhabs, individuals and tribes isn't allowed
The Muslim follows the truth with whoever it is
He doesn't show blind loyalty, nor leave the truth that is with his opponent
The Muslim turns to truth wherever it may be
 Inat al-Mustafd, 2/115.""",0.9950492,0.004950592,1.8883927e-07,0.9950492,Salafi jihadi
"Stand Firm Upon The Truth 
Shk. Rabee' (rahimahullh):
'For indeed, the truth is above all and greater than all...'",1.1989354e-07,0.00039360087,0.9996063,0.9996063,Irrelevant
"""Robert Trivers stirred up the evolution world in the 70s with his theories about the evolution of altruism. His recent death prompted many obituaries and remembrances. Here's mine, in @MindingCampus: @DiscoveryCSC @CUFreeSpeech @mitfreespeech",1.9941e-06,0.93286103,0.06713705,0.93286103,Salafi taklidi
"""The Old City [11] @taqwatravels",3.603981e-06,0.99963534,0.00036102178,0.99963534,Salafi taklidi
"""The Etiquettes of Jumu'ah - Mustafa George @Mustafa_George 

Khutbah: 14th of July 2023",1.1702712e-06,0.0024319475,0.99756694,0.99756694,Irrelevant
"""These are the real followers of Moses. They make the Children of Israel proud. 

If they are real followers of Moses they are going to Paradise, as Moses would follow Prophet Muhammad  if alive.

Yasir Qadhi cannot be trusted nor relied upon. His instability is blatant.",0.07577087,0.9242277,1.3822713e-06,0.9242277,Salafi taklidi
"""Who Is The Khariji?

Shaykh Rslan",0.9988129,8.751027e-07,0.0011863033,0.9988129,Salafi jihadi
"""Sheikh Al-Fawzan Makes Dua Against Everyone Who Seeks Harm For The Muslims And Everyone Who Caused The Destruction Of Their Homes",0.15419307,0.8458059,1.0977141e-06,0.8458059,Salafi taklidi
"""Shaykh Salih al-Fawzan   regarding the Saudi Soldiers:

- They are performing Jihad and Ribat for the Sake of Allah.

- They are Sacrificing themselves and their time to protect Islam and Muslims

- Asks Allah to grant them victory, success and aid them

- Quotes the Hadith ""Ribat (protecting the borders) for one day and night is greater than the world and what's in it and it is from the best of deeds if not the best

This the position of our scholars regarding the muslim armies and leaders, contrast this with the khawarij who view them as tawaghit, kuffar, munafiqin, shayatin and enemies of Allah.

So tell me,

Who correct?

Shaykh al-Allamah Salih al-Fawzan   and the Imams of Ahlus Sunnah

Or

Tiktok generation 20 yr old children, no knowledge nothing just vibes.""",0.008575067,0.9914247,2.4055066e-07,0.9914247,Salafi taklidi
"Ibn al-Jawz:

- My brothers, beware of heedless sleep and cherish the moments of your lives.

- Cut off laziness before it cuts off your excuses. Learn from the warnings of time.

- Hold firmly to resolve, for whoever stands on the edge of a crumbling cliff is close to falling.",1.4552916e-06,0.8535115,0.14648704,0.8535115,Salafi taklidi
"Ibn al-Jawz:

 What kind of life is it for someone who lives with laziness when they see their peers excelling in knowledge while they remain ignorant, or prospering in trade while they remain poor?

 What meaning remains for enjoyment in laziness and comfort?!",4.627632e-06,0.0021835447,0.99781185,0.99781185,Irrelevant
"""Sheikh Ibn Baz   said: When I lost my sight as a child, I heard my aunt say to my mother, thinking I was asleep, ""Poor Abdul Aziz, how will he get a job to support himself?"".

- He later became the Grand Mufti of the Kingdom, Chairman of the Council of Senior Scholars, Chairman of the Islamic Jurisprudence Academy, and winner of the King Faisal Prize for Service to Islam""",0.99857855,3.2754647e-06,0.0014181046,0.99857855,Salafi jihadi
"What group of muslim claimants are still following this guy?

Own up!

Sufis?
Shias?
Asharis?
Maturidis?
Kharijis?
Liberals?
Ikhwanis?
Ahmadis?
Hadith rejectors?

Why on earth does he have 84k followers?",0.99972874,9.315817e-06,0.00026189553,0.99972874,Salafi jihadi
"""We have daughters, sisters and wives Treat your women kindly as the Prophet Sallallaahu alaihi wa sallam said. Spend on them say a good word""",2.7112185e-07,0.0008448398,0.9991549,0.9991549,Irrelevant
"""Alhamdulillah!

A young sister accepted Islam this evening at the dawah table. May Allah keep her steadfast and fill her life with guidance 

May Allah reward our brothers for their  effort @WalesCCDawah",1.0403527e-06,0.075234294,0.9247647,0.9247647,Irrelevant
"""An Incident in a Connecticut Coffee Shop About Shaykh Muqbil: A Short Story 

May Allah have mercy upon the Shaykh.",3.626295e-07,0.99951315,0.00048653298,0.99951315,Salafi taklidi
"""Before altal-Maghrib [4] @taqwatravels",0.8375351,0.03314988,0.12931499,0.8375351,Salafi jihadi
"""#BREAKING: There can be no peace in the region without a just solution,  #Saudi Foreign Minister Prince Faisal bin Farhan asserts",0.8434858,6.5440304e-07,0.15651345,0.8434858,Salafi jihadi
"""Between 2000-2020, Saudi Arabia has provided more than $6,473,586,361 in aid to the State of Palestine,



People want to act like Saudi does nothing for the Muslims of Palestine, when in reality they have donated billions of dollars.

If we gathered all these people shouting and marching the streets in Protests, or those online making takfir of Salafis and Saudi en masse as we speak, (calling them munafiqin, kuffar)

Would we even reach 100 million total donated? Hmm... food for thought, who is really helping the Muslims in Palestine and who is really just giving lip service, posturing and acting as if they care,

But when it comes to, as they put your money where your mouth is.... it's silence...""",0.0014695817,6.0285114e-05,0.9984701,0.9984701,Irrelevant
"""Sam Shamoun &amp; his side chick STRUGGLE to answer how there isnt only 1 human in the world 

@BruceSaiFun @CapturingChrist",1.8547229e-05,0.5653245,0.434657,0.5653245,Salafi taklidi
"""Talk this Saturday after Salatul Maghrib (7.49pm) insha'Allah by Sheikh Abubakar Al-Khalafi: Missing Ramadan. All welcome!",1.0319493e-06,0.2969762,0.7030227,0.7030227,Irrelevant
"The Straight Path is clear if you are athari, Upon following the Sunnah with the narrations of the Companions, their students then their students.",9.570208e-07,0.19631782,0.80368125,0.80368125,Irrelevant
"""Another beneficial weekend with the community in Cardiff @TawheedCardiff covering Imam Sadis treatise. 

Remarkable efforts from the brothers and sisters.

A number of the youth who led the Prayer memorized the Quran under the teachers there.

May Allah bless and preserve them.",7.7880145e-07,0.11589163,0.88410765,0.88410765,Irrelevant
