tweet_id,text,model_text,label,source_file,normalized_text
yqbsg76rf,"""Alhamdulillh, 400 Mashif (copies of the Qurn) were purchased from the Qurn Printing Complex in Madeenah. These are gifted to our students upon completing the Q'idah, free of charge from the Markaz.
They will keep and benefit from them for many years to come in-sh-Allh, reading from them during their lessons and at home. 

May Allh abundantly reward the brothers who funded their purchase and transportation, and make it heavy upon the scales of their good deeds and the good deeds of their parents.""","""Alhamdulillh, 400 Mashif (copies of the Qurn) were purchased from the Qurn Printing Complex in Madeenah. These are gifted to our students upon completing the Q'idah, free of charge from the Markaz. They will keep and benefit from them for many years to come in-sh-Allh, reading from them during their lessons and at home. May Allh abundantly reward the brothers who funded their purchase and transportation, and make it heavy upon the scales of their good deeds and the good deeds of their parents.""",Salafi taklidi,python/tweetsFromSite/tweets_from_site5.csv,"""Alhamdulillh, 400 Mashif (copies of the Qurn) were purchased from the Qurn Printing Complex in Madeenah. These are gifted to our students upon completing the Q'idah, free of charge from the Markaz. They will keep and benefit from them for many years to come in-sh-Allh, reading from them during their lessons and at home. May Allh abundantly reward the brothers who funded their purchase and transportation, and make it heavy upon the scales of their good deeds and the good deeds of their parents."""
4kfxntsde,"""Alhamdulillh, 400 Mashif (copies of the Qurn) were purchased from the Qurn Printing Complex in Madeenah. These are gifted to our students upon completing the Q'idah, free of charge from the Markaz.
They will keep and benefit from them for many years to come in-sh-Allh, reading from them during their lessons and at home. 

May Allh abundantly reward the brothers who funded their purchase and transportation, and make it heavy upon the scales of their good deeds and the good deeds of their parents.""","""Alhamdulillh, 400 Mashif (copies of the Qurn) were purchased from the Qurn Printing Complex in Madeenah. These are gifted to our students upon completing the Q'idah, free of charge from the Markaz. They will keep and benefit from them for many years to come in-sh-Allh, reading from them during their lessons and at home. May Allh abundantly reward the brothers who funded their purchase and transportation, and make it heavy upon the scales of their good deeds and the good deeds of their parents.""",Irrelevant,python/tweetsFromSite/tweets_from_site5.csv,"""Alhamdulillh, 400 Mashif (copies of the Qurn) were purchased from the Qurn Printing Complex in Madeenah. These are gifted to our students upon completing the Q'idah, free of charge from the Markaz. They will keep and benefit from them for many years to come in-sh-Allh, reading from them during their lessons and at home. May Allh abundantly reward the brothers who funded their purchase and transportation, and make it heavy upon the scales of their good deeds and the good deeds of their parents."""
bnxs5cf2y,"""I dont know why people are shocked about Mishari al-Afaasys recent behaviour. Its been known for a long time now that he is a modern day equivalent of a court jester. Below is his Nasheed in praise of MBS. The Salaf are far removed from such nonsense.","""I dont know why people are shocked about Mishari al-Afaasys recent behaviour. Its been known for a long time now that he is a modern day equivalent of a court jester. Below is his Nasheed in praise of MBS. The Salaf are far removed from such nonsense.",Salafi jihadi,python/tweetsFromSite/tweets_from_site5.csv,"""I dont know why people are shocked about Mishari al-Afaasys recent behaviour. Its been known for a long time now that he is a modern day equivalent of a court jester. Below is his Nasheed in praise of MBS. The Salaf are far removed from such nonsense."
nfogx9412,"One of the people of knowledge said a while back that the Madkhalis will keep splitting &amp; fighting each other until there is no one left on the Manhaj. This is what we see today, constant internal refutations &amp; bickering over issues that arent even foundational.","One of the people of knowledge said a while back that the Madkhalis will keep splitting &amp; fighting each other until there is no one left on the Manhaj. This is what we see today, constant internal refutations &amp; bickering over issues that arent even foundational.",Salafi jihadi,python/tweetsFromSite/tests_from_site4.csv,"One of the people of knowledge said a while back that the Madkhalis will keep splitting &amp; fighting each other until there is no one left on the Manhaj. This is what we see today, constant internal refutations &amp; bickering over issues that arent even foundational."
50ssf0p8p,"""Ab Bakr al-Rz al-Jassss makes takfir of Abd al-Malik ibn Marwn and al-ajjj ibn Ysuf:

There was not among the Arabs, nor among the family of Marwn, anyone more unjust, more disbelieving, or more wicked than Abd al-Malik;""","""Ab Bakr al-Rz al-Jassss makes takfir of Abd al-Malik ibn Marwn and al-ajjj ibn Ysuf: There was not among the Arabs, nor among the family of Marwn, anyone more unjust, more disbelieving, or more wicked than Abd al-Malik;""",Salafi jihadi,python/tweetsFromSite/tests_from_site4.csv,"""Ab Bakr al-Rz al-Jassss makes takfir of Abd al-Malik ibn Marwn and al-ajjj ibn Ysuf: There was not among the Arabs, nor among the family of Marwn, anyone more unjust, more disbelieving, or more wicked than Abd al-Malik;"""
tuddbzfzn,"""Who is a Sunni? @hikmahpubs 

A response to those who say you have to be Ashari, Sufi.","""Who is a Sunni? @USER A response to those who say you have to be Ashari, Sufi.",Salafi taklidi,python/tweetsFromSite/tests_from_site4.csv,"""Who is a Sunni? @hikmahpubs A response to those who say you have to be Ashari, Sufi."
tr9rhu4wt,"""Haatim al-Awni is a huge fan of MBS, yet some people want you believe he is some sort of Shaykhul Islam of our time.","""Haatim al-Awni is a huge fan of MBS, yet some people want you believe he is some sort of Shaykhul Islam of our time.",Irrelevant,python/tweetsFromSite/tweets_from_site4.csv,"""Haatim al-Awni is a huge fan of MBS, yet some people want you believe he is some sort of Shaykhul Islam of our time."
etmi6bzjz,"""Ab Bakr al-Rz al-Jassss makes takfir of Abd al-Malik ibn Marwn and al-ajjj ibn Ysuf:

There was not among the Arabs, nor among the family of Marwn, anyone more unjust, more disbelieving, or more wicked than Abd al-Malik;""","""Ab Bakr al-Rz al-Jassss makes takfir of Abd al-Malik ibn Marwn and al-ajjj ibn Ysuf: There was not among the Arabs, nor among the family of Marwn, anyone more unjust, more disbelieving, or more wicked than Abd al-Malik;""",Irrelevant,python/tweetsFromSite/tweets_from_site4.csv,"""Ab Bakr al-Rz al-Jassss makes takfir of Abd al-Malik ibn Marwn and al-ajjj ibn Ysuf: There was not among the Arabs, nor among the family of Marwn, anyone more unjust, more disbelieving, or more wicked than Abd al-Malik;"""
ldv220xue,"""Haatim al-Awni is a huge fan of MBS, yet some people want you believe he is some sort of Shaykhul Islam of our time.","""Haatim al-Awni is a huge fan of MBS, yet some people want you believe he is some sort of Shaykhul Islam of our time.",Salafi jihadi,python/tweetsFromSite/tweets_from_site4.csv,"""Haatim al-Awni is a huge fan of MBS, yet some people want you believe he is some sort of Shaykhul Islam of our time."
056o65bob,"""I dont know why people are shocked about Mishari al-Afaasys recent behaviour. Its been known for a long time now that he is a modern day equivalent of a court jester. Below is his Nasheed in praise of MBS. The Salaf are far removed from such nonsense.","""I dont know why people are shocked about Mishari al-Afaasys recent behaviour. Its been known for a long time now that he is a modern day equivalent of a court jester. Below is his Nasheed in praise of MBS. The Salaf are far removed from such nonsense.",Salafi taklidi,python/tweetsFromSite/tweets_from_site4.csv,"""I dont know why people are shocked about Mishari al-Afaasys recent behaviour. Its been known for a long time now that he is a modern day equivalent of a court jester. Below is his Nasheed in praise of MBS. The Salaf are far removed from such nonsense."
