Tweet ID,source_file,old_final_decision,new_final_decision,changed,text
056o65bob,python/ELI/all_tweets.xlsx,Salafi taklidi,Salafi jihadi,True,"""I dont know why people are shocked about Mishari al-Afaasys recent behaviour. Its been known for a long time now that he is a modern day equivalent of a court jester. Below is his Nasheed in praise of MBS. The Salaf are far removed from such nonsense."
0ywfye6dy,python/ELI/all_tweets.xlsx,Irrelevant,Salafi jihadi,True,"One of the people of knowledge said a while back that the Madkhalis will keep splitting &amp; fighting each other until there is no one left on the Manhaj. This is what we see today, constant internal refutations &amp; bickering over issues that arent even foundational."
4kfxntsde,python/tweetsFromSite/tweets_from_site5.csv,Irrelevant,Irrelevant,False,"""Alhamdulillh, 400 Mashif (copies of the Qurn) were purchased from the Qurn Printing Complex in Madeenah. These are gifted to our students upon completing the Q'idah, free of charge from the Markaz.
They will keep and benefit from them for many years to come in-sh-Allh, reading from them during their lessons and at home. 

May Allh abundantly reward the brothers who funded their purchase and transportation, and make it heavy upon the scales of their good deeds and the good deeds of their parents."""
50ssf0p8p,python/ELI/all_tweets.xlsx,Salafi jihadi,Irrelevant,True,"""Ab Bakr al-Rz al-Jassss makes takfir of Abd al-Malik ibn Marwn and al-ajjj ibn Ysuf:

There was not among the Arabs, nor among the family of Marwn, anyone more unjust, more disbelieving, or more wicked than Abd al-Malik;"""
5j5pf28f8,python/ELI/all_tweets.xlsx,Irrelevant,Salafi taklidi,True,"""""You didnt answer my tweet 

My tweet to you is not about me or whether we should come to a conclusion that Im Suroori

Put me aside. I asked you honestly, and be honest with me, what do you think Ehsan Elahi Zahir would think of what your speaker said about comparing Tahara from Urine to being aware of the suffering of Mathloomeen in Palestine 

I thought you would be a person of honour, and realise that the people you promote, are nothing but government shills who dishonour the oppressed. 

Alhamdulillah, I know exactly how our Shaykh, the lion of Ahlus Sunnah Ehsan Elahi Zahir would make of that insolent man on your video.""
""
--------------

Deception, arrogance and lies - Surooriyyah

If you watch the video - the Shaykh is asked regarding those who made an ERROR when speaking about the Palestine issue so he advised them to:

- seek knowledge
- concern themselves with themselves  
- leave the affair of the masses for the Ulema or the senior students of knowledge. 

And he is absolutely not wrong, We all know many many people who speak about Palestine, Iran, politics yet they dont even know how to make Wudu correctly! Wallahi a lot of them dont pray. Except those who Allah has mercy on

But you and your likes deceive the people into thinking the Shaykh is saying that you cannot support the Palestine people or talk about it etc

As for you warning against the Shaykh and telling me not to post him, I will gladly stop if you bring me the Ulema saying this 

Moreso, which government shills do I promote. 
Name them, show us where the Ulema have refuted them along with the evidence"
7h9uv3tq7,python/ELI/all_tweets.xlsx,Salafi taklidi,Irrelevant,True,"Truth Before Ties

Adh-Dhahabi, in his biography of Al-Husayn ibn Abi As-Surri Al-'Asqalani, said: Abu 'Arubah Al-Harrani said:
    . 
 He (Al-Husayn) is the maternal uncle of my mother, and he is a liar. [Mzn Al-Itidl (1/536)] 

Adh-Dhahabi, in his biography of Yay ibn Abi Unaysah Al-Jazari, said: Ubaydullh ibn Amr said: Zayd ibn Abi Unaysah told me: 
     .  
Do not write from my brother, for he is a liar. [Mzn Al-Itidl (4/364)] 

And he said in the biography of Al-Husayn ibn Abi As-Surri Al-Asqalani: Abu Dwd declared him weak. And his brother Muhammad said: 
     . 
Do not write from my brother, for he is a liar. [Mzn al-Itidl (1/536)] 

Adh-Dhahabi, may Allah have mercy on him, said in the biography of Abdullh ibn Jafar ibn Naj, the father of Al ibn Al-Madn: Ibn Al-Madn said: 
 . 
My father is weak. [Mzn al-Itidl (2/401)] 

Imam Abu Dwd Sulaymn ibn Al-Ashath said about his son Abdullh:
 . 
My son is a liar. [Mzn al-Itidl (2/433)] 

Adh-Dhahabi clarified: As for his fathers statement about him, it appears that if it is authentically attributed to him, he meant that he was a liar in his everyday speech, not regarding prophetic adth. It seems he said this when Abdullh was still a young man, but later he grew older and became a leading scholar. [Tadhkirat Al-uffdh (2/238)] 

Adh-Dhahabi said in the biography of Sad ibn Shubah ibn Al-ajjj:
 .
He is truthful.

Shubah said: 
      .
I named my son Sad, but he neither succeeded nor prospered. [Mzn Al-Itidl (2/122)] 

Adh-Dhahabi said about his son Ab Hurayrah:
       .
He memorised the Quran, then preoccupied himself with other matters until he forgot it. [Fat Al-Mughth (4/356)] 

Adh-Dhahabi said in the biography of Hishm ibn assn, Ab Abdillh Al-Qards:
   
He is trustworthy, a great and eminent Imam. Ibn Ad said: Amad ibn Muammad ibn Shabb narrated to us: Amad ibn Asad narrated to us: Shuayb ibn arb narrated to us: I heard Shubah say: 
           . 
If I were to show favoritism to anyone, it would be to Hishm ibn assnhe was my brother-in-lawbut he did not have strong memory. [Mzn Al-Itidl (4/495496)] 

Imam Muslim mentions in the introduction to his a:
ajjj ibn Ash-Shir narrated to me: Sulaymn ibn arb narrated to us: ammd ibn Zayd narrated to us: Ayyb said: 
                . 
I have a neighbour, and he is a man of virtue, but if he were to testify for me about two dates, I would not consider his testimony acceptable.

Al-fidh said in the biography of Al-Abbs ibn Mabb, known as Ibn Shnah: Maslamah ibn Qsim said:
       .
He is weak in adth; his narrations should not be written. He was a friend of mine. [Lisn al-Mzn (3/244)]

Source:"
bnxs5cf2y,python/tweetsFromSite/tweets_from_site5.csv,Salafi jihadi,Salafi jihadi,False,"""I dont know why people are shocked about Mishari al-Afaasys recent behaviour. Its been known for a long time now that he is a modern day equivalent of a court jester. Below is his Nasheed in praise of MBS. The Salaf are far removed from such nonsense."
cv9j2g5vw,python/ELI/all_tweets.xlsx,Salafi taklidi,Salafi taklidi,False,Conferences at Masjid Muqbil this week
etmi6bzjz,python/ELI/all_tweets.xlsx,Irrelevant,Irrelevant,False,"""Ab Bakr al-Rz al-Jassss makes takfir of Abd al-Malik ibn Marwn and al-ajjj ibn Ysuf:

There was not among the Arabs, nor among the family of Marwn, anyone more unjust, more disbelieving, or more wicked than Abd al-Malik;"""
exaj16148,python/ELI/all_tweets.xlsx,Irrelevant,Salafi taklidi,True,"""Lengthy beaming praise from the late Grand Mufti Abdul Aziz Aal Shaykh for Shaykh Abdullah ibn Jibreen.

You would not find anyone better than him."
