Tweet ID,Text,Final Decision,Assigned To,Label_eden,Reasons_eden,Label_lior,Reasons_lior,Label_ofek,Reasons_ofek,Label_אורי כהן,Reasons_אורי כהן,Label_אילון כהן,Reasons_אילון כהן,Label_אריאל כהן,Reasons_אריאל כהן,Label_בנימין ווליך,Reasons_בנימין ווליך,Label_הודיה עופרי,Reasons_הודיה עופרי,Label_הילי חכמי,Reasons_הילי חכמי,Label_זיו חסון,Reasons_זיו חסון,Label_ענה-יה אך,Reasons_ענה-יה אך,Label_צבי גופרי,Reasons_צבי גופרי,Label_תומר חוכימה,Reasons_תומר חוכימה
x79ishghk,"If you hate #Israel please retweet.","Irrelevant","אילון כהן;בנימין ווליך","","","","","","","","","Irrelevant","","","","Irrelevant","","","","","","","","","","","","",""
nx9snhcrn,"May Allah protect the people of Iran","Irrelevant","אריאל כהן;הילי חכמי","","","","","","","","","","","Irrelevant","","","","","","Irrelevant","","","","","","","","",""
86zdnn5gb,"Sayn Cumhurbakanm bir konuda sizi uyarmak zorundaym. mrm sizin davanza hizmet etmekle geti ama Gazze konusunda yanl yapyorsunuz. 

Gazzede insanlar diri diri yanyor, alktan can veriyor, bir avu gda ve su iin birbirlerini eziyorlar. 
Siz ise hl BM'den, AB'den ve dier zulm birliklerinden medet umuyorsunuz. u bir hakikat ki Mslman'n kardei yine baka bir Mslmandr. Tarih boyunca Mslmanlara yine sadece Mslmanlar yardm etmitir. Zira kfr tek millettir. Yani sizin arlarnz beyhudedir ve kafirlere bel balamak Mslmanlarn sadece izzetini zedeler. Siz ve bu yazy okuyanlar unu dnebilir ya da syleyebilir: ""u anda gcmz az ve ekonomimiz zayf."" Maalesef bu dnce slm deildir. Bu dnce Allah' hesaba katmayan bir dncedir. Rabbimiz ayetinde "" Neden Allah yolunda ve zayf dm erkek, kadn ve ocuklar iin savamyorsunuz? yle zayflar ki; Ey Rabbimiz! Bizi, ahalisi zalim olan bu ehirden kar; bize kendi katndan bir sahip kl ve bize kendi katndan bir yardmc ver. derler. (Nisa 75. Ayet) buyuruyor. Bu ayet vb. ayetler varken nasl oluyor da birtakm dnyevi kayglarla harekete gemiyorsunuz. Bu vaheti sizin knamalarnz ya da diplomatik giriimleriniz durduramaz. nk muhatap olduumuz varlklar insandan da aa bir topluluk ve bu aalklar yaptklar vaheti ibadet gryorlar.
slm, zulm karsnda ertelemeyi deil, kyam emreder!
Hadisi erifte Allah'n Resul:
Kim bir ktlk grrse, eliyle dzeltsin. Gc yetmezse diliyle, ona da gc yetmezse kalbiyle kar koysun. Bu, imann en zayf derecesidir. (Mslim, mn 78) buyuruyor. 
Biz hep imann en zayfna m talip olacaz. Biz, Bedir'deki 300 Mslmandan daha m azz ya da silahszz ki hep glenmeyi ve zaman hesaplar olduk. Kffara kar yaptnz hazrlk ALLAHn yardmndan daha m gl. Bu mmet ALLAHn yardm ile ne zalimleri devirdi. Hangi silah ALLAHn yardmndan daha gl olabilir. 

Bugn sessiz kalan, yarn zalimin orta olur!
Glenmeyi bekleyenler, zalimin mrn uzatr!
Halk icraat bekliyor.
Bu zulme susulan hergne Hem tarih hesap soracak hem de Rabbimiz.

Artk hamas aklama ya da knama deil, adm atn!
Unutmayn ki mazlumun feryad, liderin snavdr!
Ya imdi, ya asla Sayn Erdoan!
Bu millet sizi One Minute ile hatrlyor. Ama imdi sadece sz deil, fiil duru grmek istiyor!

Adalet ertelemeye gelmez. Zulm seyredilemez. G gelince deil, zulm varken susulmamaldr. 
Bu uyarm da u hadis mucibince yapyorum: ""Sizden nceki mmetler, ilerinden biri gnah ilediinde, dieri onu uyarmazd. Sonunda hepsi helak oldu. (Eb Dvd, Melhim 17)"" topluca helak olmamak adna yapmanz gereken islam devletleri bakanlarn toplayp sraili ve destekilerine kar topluca sava karar almanz. Sizle birlikte savamayacak devlet bakanlarn aklayn. Savaa girmeyecek korkak devlet bakanlarnn gerek yzn kendi halklar grsn. Siz Gazzeye yryn sadece Mslmanlar deil dnyann her kesinden farkl dinlere mensup milyonlar hatta yz milyonlar sizle birlikte Gazzeye girsin. SRALN Ate aarsa sava emri verin. 
Ya hep beraber lrz ya hep beraber diriliriz. 
slm  mmeti ve milletimiz adna seslendim. Selmetle.","Irrelevant","בנימין ווליך;זיו חסון","","","","","","","","","","","","","Irrelevant","","","","","","Irrelevant","","","","","","",""
gopj940uu,""",    

#Salafi #Salafirecording #Salaf #Muslim #Islam #Quran #Sunnah #Salafiyyah","Salafi taklidi","הילי חכמי;ענה-יה אך","","","","","","","","","","","","","","","","","Salafi taklidi","","","","Salafi taklidi","","","","",""
6vhdqhp49,"""When Eid falls on the day of al- Jumuah (the Friday Prayer)","Irrelevant","זיו חסון;צבי גופרי","","","","","","","","","","","","","","","","","","","Irrelevant","","","","Irrelevant","","",""
5g5kznyf8,"Increasing in our supplications during these last ten blessed nights for our brothers and sisters wherever they may be,asking Allh to grant the Muslims wellbeing, safety, & guidance, both the general folk & the rulers. And asking Him, al-Ghaffr, to forgive our brothers & sisters who have passed away & those who are living.","Irrelevant","ענה-יה אך;אילון כהן","","","","","","","","","Irrelevant","","","","","","","","","","","","Irrelevant","","","","",""
mrb6ioj1k,""" 5k, 3 days. Lets clear these  and get closer to saving the Markaz!

A Markaz upon the Sunnah stays standing because people step forward.

5. 50. 500.

The dawah is upheld by those who carry it.

Give what you can. Be written among the builders. 

Donate Tonight","Irrelevant","צבי גופרי;אריאל כהן","","","","","","","","","","","Irrelevant","","","","","","","","","","","","Irrelevant","","",""
ogv1f1g7p,"Upon the authority of Abu Hurairah, the Messenger of Allh (sallallhu 'alaihi wa sallam) said: 

When the month of Ramadan enters, the doors of Paradise are opened, the doors of Hellfire are closed, and the (chief) devils are chained.
[Bukhari, Muslim]

Shaykh Ibn Baz (May Allh have mercy on him) mentioned in explanation of the above hadith:

""This indicates the virtue of this great month and that Allah, Glorified and Exalted, grants His servants success in performing many righteous deeds during it, deeds for which the doors of Paradise are opened and the doors of the heavens are opened, as occurs in another narration: The doors of the heavens are opened.

In this is an encouragement to increase in acts of goodness such as prayer, giving charity, saying Subhnallh, saying L ilha illallh, and other than that to seize this opportunity; the opportunity of this great month and what it contains of Allahs generosity, His kindness, and the vastness of His benevolence.

Likewise, (seizing the opportunity found in) the chaining of the (chief) devils and their inability to reach what they used to reach (of evil) in other months, and that their evil is weakened.""

 Explanation of Shaykh ibn Baz on Riyd As-Slihn (2nd explanation, no. 389) - taken from the Shaykh's website.","Salafi taklidi","אילון כהן;בנימין ווליך","","","","","","","","","Salafi taklidi","","","","Salafi taklidi","","","","","","","","","","","","",""
gxf4dr7zz,"""_MARKAZ US-SUNNAH URGENT APPEAL_.

_DONATE NOW_","Salafi taklidi","אריאל כהן;הילי חכמי","","","","","","","","","","","Salafi taklidi","","","","","","Salafi taklidi","","","","","","","","",""
ys4s8cv79,"We have until the end of Ramadan.

1,000,000 needs to be raised to secure Markaz us-Sunnah permanently. If this amount is reached, the building is signed over. The remaining balance will be paid in instalments, in sh Allh.

The Messenger of Allah  said:
*When a person dies, his deeds come to an end except for three: ongoing charity, beneficial knowledge, or a righteous child who makes dua for him.*
(Reported by Muslim)

This is a clear opportunity for ongoing charity.

If you are able to give, give now.
If you have already given, may Allah accept it and multiply it.
If you cannot give, please share it.

Ramadan passes. Deadlines do not move.

BarakAllahu feekum to everyone supporting, and may Allah place barakah in every contribution, Ameen.","Salafi taklidi","בנימין ווליך;זיו חסון","","","","","","","","","","","","","Salafi taklidi","","","","","","Salafi taklidi","","","","","","",""
