id,text
1,"It is an innate human feeling, and anyone who claims they have none is lying or castrated

However to avoid it, simply stay away from its triggers. If you're the weak minded, no focus, no goals, no self-respect, follows half-naked women type of person, of course you fall into it"
2,"Social media making it easily accessible while also encouraging promiscuity from women is what makes those who fall in weaker each time.

Practical actions for are to stay busy, avoid places that encourage it, fast to diminish it's strength. And the best, if you can, get married."
3,"Some women came to Aesha Radhi Allaahu Anha wearing thin clothing (i.e revealing what is beneath)

She said:
“If you are (truly) believers, then this is not the garment of believing women. And if you are disbelievers then (you may) enjoy it”"
4,Narrated by al-Qurtubi in his tafsir 33:59
5,"הציוץ המקורי (ציטוט):
""I find it pathetic when “Muslims” argue online. 

Why are you wasting your time with someone you’ve never even met?

Why do you even care what someone random says about you?

Let the dogs bark.

In person, if a dog barks—you can always put it down.""

--------------

תגובת המשתמש:"
6,"[משתמש עשה ריטוויט]
""I find it pathetic when “Muslims” argue online. 

Why are you wasting your time with someone you’ve never even met?

Why do you even care what someone random says about you?

Let the dogs bark.

In person, if a dog barks—you can always put it down."""
7,"[משתמש עשה ריטוויט]
""The best of women and the worst of women."
8,"[משתמש עשה ריטוויט]
""إِنَّا لِلّهِ وَإِنَّـا إِلَيْهِ رَاجِعونَ
my grandfather (nana) passed away

please make dua for him and 
pray for my mother"""
9,"[משתמש עשה ריטוויט]
""“Allah does not let down a hand that was raised to Him.”"
10,
11,
12,"Made me think of these ahadith on the topic of eating non-halal and immodesty, interesting

اللهم أغفر لنا"
13,"[משתמש עשה ריטוויט]
""Surat Al-Ghāshiyah | Ayah 1 - 26 | Sheikh Abdullah Awaad Al Juhany"
14,"[משתמש עשה ריטוויט]
""In Türkiye, this cat fell into the sea and everyone mobilized to save it."
15,"[משתמש עשה ריטוויט]
""إلى أهلنا الكرد؛ لا تصدقوا روايات الفتنة، من يمسكم بسوء فهو خصيمنا، نريد لسورية صلاحها وتنميتها ووحدتها.

نعلن عن إصدار مرسوم خاص يضمن حقوقكم وخصوصياتكم لتكون مصونة بنص القانون، ونفتح باب العودة الآمنة والمشاركة الكاملة في بناء وطن واحد يتسع لجميع أبنائه."
16,"[משתמש עשה ריטוויט]
""Be patient and content with Allah’s decree as your provision will surely come. 

It is best to remain unmarried than to marry someone who would make your life a living hell!"""
17,"[משתמש עשה ריטוויט]
""Shaytān to those who obeyed him:

“I had no authority over you, except that I invited you and you accepted my call. So, do not blame me, but blame yourselves.” (Q. 14 : 22)"""
18,"أَوَلَمْ يَرَوْا إِلَى الطَّيْرِ فَوْقَهُمْ صَافَّاتٍ وَيَقْبِضْنَ مَا يُمْسِكُهُنَّ إِلَّا الرَّحْمَنُ إِنَّهُ بِكُلِّ شَيْءٍ بَصِيرٌ
[الملك ١٩]"
19,"Not Jewish but this guys too funny

May Allaah guide him"
20,"הציוץ המקורי (ציטוט):
""Being a Muslim is fun just blame every bad thing on shaytan or nazar and move on!""

--------------

תגובת המשתמש:"
21,"[משתמש עשה ריטוויט]
""Your wife has the most right to good behaviour, and having the best manners to them, because she is the one who is with you day and night, openly and secretly.

If you are afflicted with something she is afflicted along with you, and if you are happy, she is happy along with you,"""
22,"Do not be discouraged from the congregational prayer just because you may be late

The Messenger ﷺ
""Whoever catches a raka'ah from the prayer, then he has caught the prayer""
[Narrated Bukhārī and Muslim]

I.e He gets the reward for praying in congregation"
23,"In the Shafi'i madhab one is also considered to have caught it if he makes it before the Imam gives the tasleem (salaam)

However others say one must catch the final ruku' (with takbeerat ul-ihram as some usually forget and this is a pillar)"
24,"[משתמש עשה ריטוויט]
"""
25,"[משתמש עשה ריטוויט]
""Jummah reminder ❤️ :
1)Read Surah Al-Kahf 
2) apply perfume 
3) listen to the khutba attentively 
4) Send salawat upon the prophet (ﷺ )
5) Make dua during last hour of sunset 
6) keep our opressed brothers and sisters in your duas"""
26,"[משתמש עשה ריטוויט]
""“No one understands your heart better than the One who created it.”"
27,"[משתמש עשה ריטוויט]
""“I saw a beauty in your face that I can never forget.”"
28,"הציוץ המקורי (ציטוט):
""When I say that I'm Muslim,this is what I mean : 

--------------

תגובת המשתמש:
عندما أقول أنا مسلم، هذا ما أعنيه"
29,"لا تنسوا قراءة الكهف والصلاة على النبي

اللهم صل على محمد وعلى آل محمد كما صليت على إبراهيم وعلى آل إبراهيم إنك حميد مجيد

اللهم بارك على محمد وعلى آل محمد كما باركت على إبراهيم وعلى آل إبراهيم إنك حميد مجيد"
30,"[משתמש עשה ריטוויט]
""“Had We sent down this Qurʾān upon a mountain, you would have seen it humbled and torn apart in awe of Allāh.” [59:21]

Ponder, has your heart become harder than Mount Everest?

Such a mountain would shatter at the Speech of Allāh, yet we struggle to feel anything."
31,"[משתמש עשה ריטוויט]
""It was chosen for him, not against him..."
32,
33,"O Lord! Not because I am deserving, but because You are merciful"
34,"הציוץ המקורי (ציטוט):
""Moral of the story:

You f*ck with Jews, You lose . 

--------------

תגובת המשתמש:
I cannot wait for the day in which the trees and rocks will speak"
35,"Don't be deceived by the ""x got tazkiyyah from shaykh..."" gang

If you can actually read alot of the time its nothing to do with studying in their classes or graduating from knowledge, just a general statement

Anyone can sit and act for scholars then ask them to write on paper"
