text,label_Irrelevant,label_Salafi jihadi,label_Salafi taklidi,model_decision
"""""What is the easiest Madhab to study in Usl al-Fiqh according to Ustdh Abdur Rahman Hassan?

The Hanafis are unique in the way they approach Usl and Qawaid al-Fiqh as opposed to the other Madhabs. And their method is known as the Tarqa al-Fuqaha, (the way of the jurists) as opposed to the majority who are known to be Tarqa al-Mutakallimn""
""
--------------

Easiest Madhab in its framework in Usl",0.0035319787,0.01245038,0.9418202,
"Salat al-Istighathah to Fatimah is a Shia prayer in which one supplicates (!) 500+ times to Fatimah in prostration, beseeching her as Catholics beseech Mary. Not even Abu Jahl and Abu Lahab innovated such a shirk prayer for their saints.

This Shia prayer is taught by well-known ayatollahs in Iraq and Iran, but the charlatan Daniel Haqiqatjou wants you to believe that this is not mainstream and that opposing such satanic polytheism makes you a Wahhabi, as if shirk is not worse than killing.",0.025883935,0.0020021773,0.9817053,
"An Iranian (Shia murtadd) recorded himself and proudly uploaded it on his social media accounts, verbally abusing, in extremely foul and disgusting language (these are the same Iranians who claim high culture), a kind Muslim uncle who wished him a happy Eid (Eid al-Fitr).

That scumbag, with a thick accent, meaning a recent arrival to the West who was raised under the Khomeinist system in Iran, is married to a Ukrainian refugee and has even taught her to abuse Islam and Muslims. He has a deep hatred for Arabs too, despite being a Bakhtiari Lor, a wannabe Persian from the Ahwaz region that has a huge Arab population. There are many such accounts online of Khomeinist, Iran-raised Islam haters.

I do not know where the video was taken, but it looks like somewhere in North America. Perhaps some of you can shed light on it and pursue legal action. 

These Iranian Shia apostates have become an absolute plague.",0.61984247,0.0927128,0.0036589075,
"""""al-Baq looked like a Hindu slum under the control of the grave-worshippers. 
""
--------------

Rafidah and quburi Sufis say graves were destroyed in al-Baqi. That is factually not true. Shrines and mausoleums were levelled, and the graves were returned to their original modest form, as prescribed in Islam by the Sahabah and Ahl al-Bayt.",0.8822298,0.013609558,0.005307221,
"This Ayatullat-looking Israeli rabbi prays for the leaders of the UAE, whom Faris Hammadi calls the shadow of Allah on earth!

Our opposition to the Rafidah must never make us go soft on these Zionists or hesitate for a moment in opposing them as well. In despising these human devils, we must not let Rafidah apologists and Iran-regime apologists, i.e. the likes of Basiji Daniel Haqiqatjou, Asrar Rashid Brillo, etc. deceive the laypeople into claiming that these Zionists are Wahhabis.",0.36861217,0.19697905,0.004201326,המודל לא הצליח לקבל החלטה
"""The Ibn Saba influence is still so strong in Iran that a common 'Ya Ali, madad' (calling Ali for help) and the expression I previously mentioned are widely used.",0.9968581,0.0032869047,0.0052128015,
"""""Daniel Haqiqatjou describes the alleged mass killing the Wahhbs carried out in al-if in 1803, slaughtering people praying in mosques, studying the Qurn, and even babies being breastfed by their mothers.

He even plays sounds effects of babies crying to emotionally manipulate the listener.

 Theres just one problem: This is all fake news. None of this ever happened. Amad Zayn Daln was a well known a liar and wasnt even alive when Uthmn al-Muyif took al-if.""
""
--------------

Imam Shafii said: I have not seen anyone more prone to false testimony (i.e. deliberate lies and fabricated claims) than the Rafidah (Manaqib al-Shafii by al-Bayhaqi).",0.026365811,0.9737058,0.013929305,jihad
"Khamenei perished a month ago and the Iranian regime, out of sheer fear, still has not buried him, even though their entire playbook revolves around excessive public burial spectacles, yet they rushed to install his son as successor, the very so-called Saqifah Yazidi practice they never stop condemning. He promised to conquer Jerusalem, yet his body is sitting in a freezer because they cannot even dare to bury him publicly after an entire month, and still they have the audacity to claim they have the upper hand.",0.99429893,0.008659912,0.002219433,
"""""@andalusi_2 @RKSA_en Can't believe those feminine iraqis had the wahabis trying to escape in women's clothes  
""
--------------

The older one looks like cuck king Reza Pahlavi",0.24797866,0.7414028,0.003212889,jihad
"""@mfebbyangga0 Sururis correct

Backing Iran from political pragmatist perspective is fine but ultimately Sunnis should capitalise and have our own project. The Neo-Safavid rafidhi state should never be trusted, only a nave fool would think otherwise""",0.28405187,0.76126075,0.0022174045,jihad
"""@HarounKanj You brain dead Mushrik, how is acting on a weak Hadith, which states that Allah created specific angles that are not All-Hearing, solely for the purpose of guiding travelers, the same as making Du to dead people? Being a Mushrik is undoubtably tied to being stupid.""",0.9706251,0.017451517,0.0021557556,
""" .  . `--  .        """,0.9971706,0.005418968,0.0031829253,
"""""The biggest gulf based Quran reciter in the world tweets in support of Donald Trump (read Zionists) blowing Iran to smithereens.  

Cue absolute fury in the comments and QTs.

This comes weeks after he labelled the Muslim Brotherhood dogs.""
""
--------------

Al-Afasy is a grifter who sang a nasheed at the invitation of the taghut Sufi ruler of the Chechen Republic, Kadyrov. He actively sanatised that lunatic, Wahhabi-hating tyrannical dictator, along with leading Sufi figures, the likes of Ali Jifri, Ali Gomaa, and others, spineless like the Madakhilah. No Muslim with ghirah and aql takes such celebrity clowns seriously. Despising the Rafidah doesn't mean we simp for Zionist khanazir.",0.11691807,0.56543684,0.0067554405,jihad
"""""The history of the Umayyads is a noble history that Muslims should study and take pride in.

They have often been the target of slander from both political rivals and theological opponents.

Yet such slander ultimately benefits those who were wronged, for it becomes a source of good deeds for the victims on the Day of Judgment.""
""
--------------

The marketplace of jihad was firmly established under Banu Umayyah; they had no occupation but that. The word of Islam had risen across the east and west of the earth, its land and its seas. They subdued kufr and its people, and the hearts of the mushrikin were filled with fear of the Muslims. Wherever the Muslims turned, they seized it. Within their armies and expeditions were the righteous, the awliya, and the scholars from among the senior Tabi'un; in every army there was a great contingent through whom Allah granted victory to His religion. 
(Ibn Kathir, al-Bidaya wa al-Nihaya, vol. 9)

Ibn Khaldun said:

Banu Abd Manaf among Quraysh possessed a share of numbers and honour that none of the other clans of Quraysh could rival. Their two branches, Banu Umayyah and Banu Hashim, were both a single group tracing back to Abd Manaf and affiliating themselves with him. Quraysh recognised this and sought leadership from them; however, Banu Umayyah were greater in number than Banu Hashim and had more men, and strength lies in numbers. As the poet said: Indeed, strength belongs to the more numerous. (Ibn Khaldun, Tarikh).",0.12771234,0.6299462,0.0050264816,jihad
"The sheer scale of apostasy among Iranians from Shiism is striking. The most vile among them, who then turn into extreme Islam- and Muslim-hating Iranians, consistently praise the Zionist-aligned UAE. I wonder why.",0.9964886,0.0056822575,0.0028035599,
All these human devils work together...,0.99748564,0.0044553243,0.0040286686,
"This is the Iranian Ayatullat Gholam Reza Ghasemian, head of the Iranian parliament library. He brazenly states that their final battle is not with Israel but with Makkah and the Hijaz, which they seek to conquer and turn into a Shirkistan like Qom and Karbala.

Also remember: Shia hadith clearly state that their pseudo Mahdi (the Dajjal in reality) will exhume Abu Bakr, Umar and Aisha and torment them like the sadistic Dajjal he is

Abu Jafar said to me: If our Qaim (Twelth Imam) were to rise, al-Humayra (Aisha) would be returned to him so that he may flog her with the prescribed punishment and take revenge on behalf of the daughter of Muhammad, Fatimah, upon her. I said: May I be your ransom, and why would he flog her with the prescribed punishment? He said: For her slander against the mother of Ibrahim. I said: Then why did Allah delay this for the Qaim? He said: Because Allah, blessed and exalted, sent Muhammad, peace be upon him, as a mercy, and He will send the Qaim as a retribution.
(Illal al-Sharai, by Ibn Babawayh al-Qummi, vol. 2, pg. 580)

My article exposing this disgusting belief, which is openly preached and circulated in Iran:",0.013394801,0.7850391,0.02897173,jihad
The Sadistic 12th Imam (Dajjal) Wants to Dig Out and Crucify Abu Bakr and Umar!,0.99657816,0.0041599874,0.0034543604,
"Hassoun disagrees. His transformation into a shawarma was useful, as it has opened a new business opportunity for the Rafidah of Lebanon, whose Qiblah is Iran, which cannot wait to pump more money into Lebanon to erect yet another pompous, Iranian-style Majoosi shrine. The shrine business is all in progress as we speak.",0.9803571,0.001828459,0.014660576,
"And that's the beginningKhomeini's tomb also started small until it turned into one of the most lavish shrines and mausoleums ever erected in the name of Islam. The shrine for Nasrallat and Hashem Safeeh al-Din is supposed to look like this. Images of the plans show an elaborate plaza with a central dome where he will be interred. The site will be festooned with Catholic-esque saint images of him, literally opposing the Sunnah of the Messenger of Allah, peace be updated jnhim, and his household, who commanded us to level graves and keep them as plain as possible. It is expected to be built on the road leading to Beirut International Airport, in the Bourj el-Barajneh neighbourhood of Beirut.

#iran #hezbollah #hizbullah #hizbushshaytan",0.1291044,0.0014201974,0.78534096,
"This is the shrine (!) the Khomeinist Rafidi Shia have quickly set up for Ali Larijani, i.e. it is still in progress (if you want to see how their idolatrous shrines look in the final stage, just search for Khomeinis shrine and mausoleum, which resembles more a Persian Sassanian palace than a modest, simple Muslim grave). 

The Shariah violations are so many that even trying to keep this short still turns into an essay:

1Raised, built-up grave  clear violation of the Sunnah (graves must be simple and only slightly raised)  like Hindu samadhi structures / Christian tomb monuments (He forbade plastering graves and building over them  Sahih Muslim)

2Shrine-style enclosure  turns a grave into a place of veneration, not burial  like Hindu shrine spaces / church-style memorial areas (Do not take graves as places of worship  Sahih Muslim)

3Huge portrait above the grave  images tied to veneration are forbidden  like Christian icon worship / saint imagery (Umm Salamah reported churches in Abyssinia with images over graves; the Prophet, peace be upon him, said: Those are the WORST of creation  Sahih al-Bukhari, Sahih Muslim)

4Flowers placed as offerings  ritualised, not from the Sunnah  like Hindu offerings at shrines / graveside rituals in churches (no established Sunnah practice of ritual offerings at graves; the Prophet, peace be upon him, forbade introducing practices into the religion  Sahih al-Bukhari, Sahih Muslim)

5The whole setup is theatrical and attention-seeking  opposite of Islamic humility in death  like Hindu devotional sites / Christian saint shrines (Do not exaggerate in praising me  Sahih al-Bukhari)

6Encourages attachment to the dead instead of Allah  exactly the path the Prophet, peace be upon him, warned leads to shirk  identical to Hindu guru veneration / Christian saint intercession culture (O Allah, do not make my grave an idol that is worshipped  Musnad Ahmad)

7Grave turned into a focal point  not remembrance, but glorification  same model as shrine-based religions (Do not sit on graves nor pray towards them  Sahih Muslim)

Bottom line:

This is not a Muslim grave. It is a shrine culture resembling polytheistic traditions rather than what Islam taught, and it was none but the Ahl al-Bayt, peace be upon them, from whom it is authentically narrated that all graves must be levelled and kept simple, like those in al-Baqi, which were not destroyed as grave-worshippers claim, but restored to their original humble form.",0.0022861995,0.48031124,0.6064412,
"Here is Ali Larijani and other Iranian officials literally prostrating on and kissing the shrine of Hassan Nasrallat. This is directly taken from the practices of the Yahood and Nasara that the Rafidah have adopted.

    (: 561): (           )- (()) (1/ 91)

When one visits a grave, he should not place his hand on it nor kiss it, for that is the practice of the Jews.  al-Ghunya (1/91)",0.008501864,0.0051460713,0.9391458,
"""""Just like at Qassem Soleimanis funeral and at virtually all their shrines, the Rafidah of Lebanon also prostrate at the newly erected shrine of Nasrullat. It took me less than a minute to find such footage. 
""
--------------",0.9822527,0.0300004,0.001360209,
"""TMZ grilling Dan Bilzarian over calling Randy Fine a ""fat jew""",0.9976271,0.004481142,0.0037697146,
"""Overrun as it is by British intelligence",0.9971945,0.0063941316,0.0031756687,
"""It's easy to get desensitized to this, but Netanyahu just bragged about intentionally killing civilians in Iran.""",0.99691844,0.0050218883,0.0032873703,
"""""The ceasefire conditions, which I am sure the President has read...""",0.99766254,0.0046107974,0.0036194904,
This made me cry,0.9948027,0.004848174,0.0106713325,
"""You dont have to like the Iranian government but if youre on the side of the US and Israel, your mum is a bitch.",0.99774545,0.004741884,0.0043412196,
"""just watched this series n it was chefs kiss""",0.9978048,0.0045588217,0.0039897347,
"""Told ya""",0.9967439,0.0046565086,0.004752391,
"""aint no way""",0.99708146,0.0055538663,0.0034760842,
"""The very first glimpse of the Dark side of the Moon!",0.9977456,0.0044621034,0.004201128,
"""My heart is heavy tonight going through instagram and whatsapp stories. Everyone I know in Lebanon lost someone today. Some lost entire families. Babies, mothers, sisters, brothers and friends. Gone. This is not a war on Hezbollah. This is a war on Lebanon and Lebanese people.",0.9975533,0.0046759136,0.0034475029,
"""The Blackpill is for loser cucks.

Even if ""all is lost"" this should motivate you to take matters into your hands and fight harder and smarter than those who failed.""",0.99750155,0.004717122,0.004182248,
Media has the responsibility to promote truth and justice for marginalized groups.,0.99733067,0.004783328,0.004638168,
"""Hillary Clinton fan btw""",0.99767154,0.004210485,0.0039757616,
"""Whatever they did to S Korea decimated their family structure, plummeted their birth rates to half the replacement level and put one third of the population in clinical depression but at least they will have more shekels per goy right before they go extinct.""",0.9976388,0.005210416,0.0034365833,
"""Case study.
Farid likes to attack Muslims day &amp; night, accusing them of Shirk, Kufr, Bid'a... but when he debated Murtads, he does so like a cute kitty cat.",0.14339134,0.9065695,0.0036564923,jihad
"""Gunn fans using A.I slop to produce their weirdo fetishes, how surprising",0.9976337,0.0040318803,0.004241742,
"""What was the ""incident"" at your high school?",0.9974954,0.00440239,0.004031367,
"""Saudi Arabia was founded on two key values:

1. Betrayal of Muslims
2. Greed""",0.99759907,0.00504715,0.0034139208,
"""The use of trained rape dogs in Israeli prisons is so well-documented at this point that there is no valid reason to doubt it is happening. All the hasbarists can say is ""It's crazy to think Israel would do something so evil!"" Which nobody who's been paying attention believes.""",0.99753726,0.005295167,0.0031535851,
"""I have seen enough to say it with absolute certainty: the Israeli army is the most depraved army.""",0.9976071,0.0049306382,0.003426149,
"""Must read: Israeli soldiers with moral injury admit to unspeakable atrocities they committed in Gaza. They say it ""reminded [them] of the Holocaust.""

One says they put a Gazan civilian in cage, stripped him down, a soldier peed on him while the others laughed

Another emptied his machine gun into an elderly man with 3 children. When the commander came to the site, he spat on the bodies & called them ""sons of bitches.""

Another soldier says they encountered an unarmed Palestinian civilian who held his hands up. An Israeli soldier ""came near him, waited a few seconds & just fired, without asking questions, without the suspect doing anything,"" then reported the incident as a ""terrorist eliminated.""

Another describes how IDF Soldiers ""would just take pleasure in destruction"" & stealing the belongings of murdered Palestinians.

He said soldiers would steal ""electric appliances, gold necklaces, cash, everything"" & ""called it a blessing to steal from [Palestinians].""

NONE of those soldiers have ever been held accountable, despite their public confessions to their crimes.

The IDF refuses to even recognize ""moral injury"" as a mental disorder because it negates their propaganda slogan that ""Israel has the world's most moral army."" Instead, the IDF quietly calls it ""identity injury"" to imply those soldiers are to blame for feeling bad about murdering Palestinians.""",0.99760604,0.0047395034,0.0035588325,
"""This is Zionism""",0.99767417,0.004811483,0.0034409282,
"""'The problem is not Netanyahu.'
'The problem is the whole of Israeli society. '
'About 7075% of Israelis say there are no innocents in Gaza.'
'No innocents  in a land of children.'
'Israel kills children as a hobby. ' 
'As a hobby.'

Professor Norman Finkelstein.",0.99736816,0.003708805,0.004524968,
"""Any fuckwit Western feminists feel like speaking up? 

JK Rowling?

Meghan Markle? 

Or have you been struck dumb?""",0.9961779,0.0037815159,0.005648137,
"""For the first time 
a footage released showing the USraeli arracks on Iranian hospitals. 
Check  second 00:38 when a nurse tries to save as many infants as she can hold in her arms.",0.99637467,0.0054235547,0.0028609065,
"""Apparently we all just wanna murder babies and get away with it.",0.99742126,0.0043802774,0.004604025,
"""Whoever does these is soooo brilliant. Love this ""What shall we do with a drunken Hegseth"" one.""",0.9969021,0.0035120107,0.0044426164,
"""Antisemitism is not tolerated in the UK but Islamophobia is. That's the message @ukhomeoffice is giving us here, by banning Kanye West but allowing this quran burning, Muslim hating witch into the country.""",0.9972434,0.0036512495,0.004438577,
"""So its ok for these so called Patriots to chant Allah Allah who the fuck is Allah

But nothing will be done.

Yet if there was chanting anti Jewish slogans and songs all hell would break loose!

Fucking joke!",0.9975171,0.0049289307,0.003600076,
"""ISRAEL TRAINS DOGS TO RAPE PRISONERS.
ISRAEL TRAINS DOGS TO RAPE PRISONERS.
ISRAEL TRAINS DOGS TO RAPE PRISONERS.""",0.99774003,0.004740961,0.003791517,
"""After Israelis have killed, tortured and raped Palestinians, they go to Dubai to unwind.""",0.9974921,0.0049848473,0.0037831313,
